,segment,speaker,debate,mtld,n_difficult_words,n_opponent_mentions,n_words_before_main_verb,readability,person_1sg,person_1pl,person_2,person_3,n_words,n_sents,mean_sent_length,std_sent_length
11,"Ladies and gentlemen, the Republican candidates. [applause]",raddatz,r_manchester_2016_02_06,7.0,3,0,0,16.1225,0,0,0,0,7,2,3.5,2.5
12,"And Dr. Ben Carson, please come out on the stage. He's standing there, as well. Dr. Carson. [applause]",muir,r_manchester_2016_02_06,50.54000000000001,3,0,8,4.0325,0,1,0,1,18,4,4.5,3.5
13,And Donald Trump. [applause],raddatz,r_manchester_2016_02_06,4.0,2,1,0,6.0,0,0,0,0,4,2,2.0,1.0
14,"And lastly, we welcome back to the debate stage, Donald Trump. [applause]",muir,r_manchester_2016_02_06,12.0,4,1,4,7.170000000000001,0,2,0,0,12,2,6.0,5.0
15,What about Kasich? Can I introduce Kasich?,christie,r_manchester_2016_02_06,13.719999999999997,2,0,2,5.0275,2,0,0,0,7,2,3.5,0.5
16,It was so noisy in here. Yes. Yes. We're going to introduce Ohio Governor John kasich. [applause],muir,r_manchester_2016_02_06,90.71999999999997,4,0,2,5.8475,3,1,0,2,17,5,3.4,3.0066592756745814
17,The applause so loud here in the hall.,muir,r_manchester_2016_02_06,17.92,1,0,0,1.6500000000000001,1,0,0,2,8,2,4.0,2.0
18,"The applause so loud you couldn't hear. We couldn't hear, either. That's a good sign for the excitement this evening.",raddatz,r_manchester_2016_02_06,37.03,2,0,3,4.5575,0,1,1,2,20,4,5.0,2.5495097567963922
19,"Gentlemen, thank you for being here tonight, just days before voters here in New Hampshire make their decisions. The rules are simple and have been agreed to by all the campaigns. There will be 60 seconds to answer and if another candidate is mentioned in that answer, that candidate will have 30 seconds to respond. There are green, yellow and red lights that each candidate will see to signal when time is up and they will also hear this sound.",raddatz,r_manchester_2016_02_06,71.22916666666666,9,0,2,8.89,5,0,1,7,80,4,20.0,4.847679857416329
20,"So let's get started. We welcome you all to the debate stage here tonight. We're going to tackle the issues Americans are most concerned about, the economy, ISIS, Homeland Security. And here in New Hampshire, some of the most heated rhetoric yet over who is best suited to step in on day one, who has the experience, who has the temperament to be commander-in-chief.",muir,r_manchester_2016_02_06,81.312,15,0,4,8.6975,6,3,1,5,64,4,16.0,11.224972160321824
21,"Mr. Trump, Senator Cruz has said about you right here in New Hampshire this week, quote, ""I don't know anyone who would be comfortable with someone who behaves this way, having his finger on the button. We're liable to wake up one morning, and if he were president, he would nuke Denmark."" Saying, quote, ""That's temperament of a leader to keep this country safe.""",muir,r_manchester_2016_02_06,179.56000000000006,9,1,6,9.705000000000002,3,3,1,5,64,4,16.25,12.65652005884714
22,I wanted to give you the opportunity to respond to this and to tell the American people tonight why you do have the temperament to be commander-in-chief.,muir,r_manchester_2016_02_06,27.0,5,0,1,13.22,2,0,2,0,27,1,27.0,0.0
23,"I actually think I have the best temperament. I built a massive corporation. I employ thousands and thousands of people. I've gotten along with people for years and years, have tremendous relationships with many people, including politicians on both sides. And no matter how you cut it, when I — when I came out, I hit immigration, I hit it very hard. Everybody said, ""Oh, the temperament,"" because I talked about illegal immigration.",trump,r_manchester_2016_02_06,41.00569093270186,13,0,28,8.2225,16,0,1,0,73,6,12.166666666666666,6.517071598672384
24,"Now, everybody's coming to me, they're all trying to say, well, he's right, we have to come to him. I hit other things. I talked about Muslims. We have a problem. Nobody else wanted to mention the problem, I brought it up. I took a lot of heat. We have to have a temporary something, because there's something going on that's not good. And remember this, I'm the only one up here, when the war of Iraq — in Iraq, I was the one that said, ""Don't go, don't do it, you're going to destabilize the Middle East."" So, I'm not one with a trigger. I'm not one with a trigger. Other people up here, believe me, would be a lot faster.",trump,r_manchester_2016_02_06,45.625,9,0,52,3.85,13,4,1,8,122,11,11.090909090909092,8.887729492800176
25,"But I'll build the mill arbitrary stronger, bigger, better than anybody up here, and nobody is going to mess with us. That, I can tell you. [applause]",trump,r_manchester_2016_02_06,219.52000000000015,2,0,7,6.405,3,0,1,2,27,3,9.0,8.640987597877148
26,"Mr. Trump, thank you. I want to bring this to Senator Cruz, then.",muir,r_manchester_2016_02_06,47.320000000000036,1,1,4,2.235,1,0,1,0,13,2,6.5,2.5
27,"Because Senator, you did said of Trump's behavior this week, that's not the temperament of a leader to keep this country safe.",muir,r_manchester_2016_02_06,53.760000000000005,3,1,0,11.515,0,1,1,0,22,1,22.0,0.0
28,Why not?,muir,r_manchester_2016_02_06,2.0,0,0,0,-4.8775,0,0,0,0,2,1,2.0,0.0
29,"Well, you know, David, the assessment the voters are making here in New Hampshire and across the country is they are evaluating each and every one of us. They are looking to our experience. They are looking to our knowledge. They are looking to our temperament and judgment. They are looking to our clarity of vision and our strength of resolve.",cruz,r_manchester_2016_02_06,22.342362800243237,12,0,32,7.18,2,6,1,7,61,5,12.2,8.304215796810677
30,"The world is getting much more dangerous. We've had seven years with Barack Obama in the oval office, a commander-in-chief that is unwilling even to acknowledge the enemy we're facing. This is a president who, in the wake of Paris, in the wake of San Bernardino, will not even use the words radical Islamic terrorism, much less focus on defeating the enemy.",cruz,r_manchester_2016_02_06,67.46352941176471,10,0,5,10.92,8,2,0,0,62,3,20.666666666666668,10.338708279513881
31,"I am convinced every individual standing on this stage, would make a much better commander-in-chief than Barack Obama or Hillary Clinton or Bernie Sanders. [applause]",cruz,r_manchester_2016_02_06,174.9999999999999,7,0,0,14.642500000000002,3,0,0,0,25,2,12.5,11.5
32,"And the primary voters are making the assessment for each of us, who is best prepared to keep this country safe, to rebuild the military, to rebuild our Navy, our Air Force, our Army, our Marines, and to ensure that we keep America safe.",cruz,r_manchester_2016_02_06,41.25333333333333,6,0,5,16.6675,1,5,0,0,44,1,44.0,0.0
33,"Senator Cruz, I did ask about Mr. Trump. You said he doesn't have the temperament to be commander-in-chief. Do you stand by those words?",muir,r_manchester_2016_02_06,174.9999999999999,3,1,8,5.715,2,0,2,1,24,3,8.0,1.632993161855452
34,"I think that is an assessment the voters are going to make. And they are going to make it of each and everyone of us. They are going to assess who is level-headed, who has clear vision, who has judgment, who can confront our enemies, who can confront the threats we face in this country, and who can have the judgment when to engage and when not to engage — both are incredibly important for a commander-in-chief, knowing how to go after our enemies.",cruz,r_manchester_2016_02_06,25.322033898305087,12,0,6,11.4125,8,3,0,3,84,3,28.0,21.924111536540465
35,"In the case of Iran, for example, who has the clarity of vision to understand that the Ayatollah Khamenei, when he chants, ""Death to America,"" he means it. We need a president with the judgment and resolve to keep this country safe from radical Islamic terrorists.",cruz,r_manchester_2016_02_06,84.64,10,0,1,12.1025,4,1,0,2,46,2,23.0,5.0
36,"Senator Cruz, thank you. We're going to continue on this notion of readiness and experience. I'm going to come back.",muir,r_manchester_2016_02_06,67.75999999999999,5,0,7,6.3575,1,1,1,0,20,3,6.666666666666667,3.0912061651652345
37,Am I allowed to respond? I have to respond.,trump,r_manchester_2016_02_06,9.0,2,0,2,0.315,2,0,0,0,9,2,4.5,0.5
38,"If you would like to respond, Mr. Trump.",muir,r_manchester_2016_02_06,8.0,1,1,3,1.95,1,0,1,0,8,1,8.0,0.0
39,"First of all, I respect what Ted just said, but if you noticed, he didn't answer your question. And that's what's going to happen — OK. [applause]",trump,r_manchester_2016_02_06,117.73999999999997,3,0,5,5.5825,2,0,3,1,27,3,9.0,6.97614984548545
40,That's what's going to happen with our enemies and the people we compete against. We're going to win with Trump. We're going to win. We don't win anymore. Our country doesn't win anymore. We're going to win with Trump. And people back down with Trump. And that's what I like and that's what the country is going to like. [applause],trump,r_manchester_2016_02_06,21.656542056074766,4,3,13,3.725,2,7,0,0,60,10,6.0,3.286335345030997
41,"Mr. Trump, thank you. And we're going to continue on this notion of readiness and on experience, but I want to ask about a headline that was back in the papers again this morning.",muir,r_manchester_2016_02_06,85.74999999999997,6,1,6,7.2925,2,1,1,1,34,2,17.0,13.0
42,"Dr. Carson, on the day of the Iowa caucuses, the Cruz campaign sent out messages and voicemails saying, quote, ""Breaking news. Dr. Ben Carson will be planning to suspend his campaign following tonight's caucuses. Please inform any Carson caucus-goers of this news.""",muir,r_manchester_2016_02_06,57.524444444444434,12,0,20,9.022499999999999,2,0,0,1,42,3,14.0,5.354126134736337
43,"But as we can all see, you are still standing here tonight. Late this week, your campaign sent this e-mail, quote, ""This kind of deceitful behavior is why the American people don't trust politicians. If Senator Cruz does not act, then he clearly represents D.C. values.""",muir,r_manchester_2016_02_06,322.5600000000003,9,0,26,8.3375,2,2,3,3,46,3,15.333333333333334,4.714045207910316
44,What kind of action do you think Senator Cruz should take?,muir,r_manchester_2016_02_06,11.0,2,0,6,5.734999999999999,0,0,1,0,11,1,11.0,0.0
45,"Well, you know, when I wasn't introduced No. 2, as was the plan, I thought maybe he thought I already had dropped out. But... [applause]",carson,r_manchester_2016_02_06,58.33333333333334,2,0,20,9.58,4,1,1,1,25,2,12.5,10.5
46,"But you know, today is the 105th anniversary, or — 105th birthday of Ronald Reagan. His 11 Commandment was not to speak ill of another Republican. So, I'm not going to use this opportunity to savage the reputation of Senator Cruz. [applause]",carson,r_manchester_2016_02_06,67.24,8,0,5,9.1575,3,0,1,1,42,4,10.5,5.722761571129799
47,"But I will say — I will say — I will say that I was very disappointed that members of his team thought so little of me that they thought that after having hundreds, if not thousands of volunteers and college students who sacrificed their time and were dedicated to the cause — one even died — to think that I would just walk away ten minutes before the caucus and say, ""Forget about you guys.""",carson,r_manchester_2016_02_06,49.87155963302752,10,0,3,26.502499999999998,6,1,1,3,76,1,76.0,0.0
48,"I mean, who would do something like that? Now, I don't think anyone on this stage would do something like that. And to assume that someone would, what does that tell you? So, unfortunately, it did happen.",carson,r_manchester_2016_02_06,41.46222222222222,2,0,13,4.6274999999999995,3,0,1,0,37,4,9.25,3.031088913245535
49,"It gives us a very good example of certain types of Washington ethics. Washington ethics. Washington ethics basically says, if it's legal, you do what you need to do in order to win. That's not my ethics. My ethics is, you do what's right.",carson,r_manchester_2016_02_06,24.63253012048193,4,0,4,5.5075,7,0,3,0,44,5,8.8,5.912698199637793
50,Senator Cruz. [applause],muir,r_manchester_2016_02_06,3.0,2,0,0,12.370000000000001,0,0,0,0,3,2,1.5,0.5
51,"Dr. Carson, thank you.",muir,r_manchester_2016_02_06,4.0,1,0,3,1.4500000000000002,0,0,1,0,4,1,4.0,0.0
52,"Senator Cruz, you have said that Dr. Carson and his wife have become friends of yours. I'm curious as why you didn't call ahead of time to either the doctor or his wife or have your campaign check in with the other campaign before sending out those messages.",muir,r_manchester_2016_02_06,77.77777777777776,6,0,5,7.140000000000001,2,0,7,2,48,2,24.0,8.0
53,"Ben is a good and honorable man and Ben and Candy have become friends. He has an amazing life story that has inspired millions, including me. When this transpired, I apologized to him then and I do so now. Ben, I'm sorry.",cruz,r_manchester_2016_02_06,48.58789215686275,7,0,5,4.97,6,0,0,2,42,4,10.5,4.387482193696061
54,"Let me tell you the facts of what occurred for those who are interested in knowing. On Monday night, about 6:30 p.m., CNN reported that Ben was not going from Iowa to New Hampshire or South Carolina. Rather, he was, quote, ""Taking a break from campaigning.""",cruz,r_manchester_2016_02_06,296.24000000000024,6,0,9,7.3925,3,0,1,1,46,3,15.333333333333334,4.921607686744467
55,"They reported that on television, CNN's political anchors, Jake Tapper and Dana Bash and Wolf Blitzer, said it was highly unusual and highly significant. My political team saw CNN's report breaking news and they forwarded that news to our volunteers, it was being covered on live television.",cruz,r_manchester_2016_02_06,49.0,12,0,4,13.7525,3,1,0,2,47,2,23.5,0.5
56,"Now, at the time, I was at the caucuses, I was getting ready to speak at the caucuses just like Ben was, just like everyone else was. I knew nothing about this. A couple hours later, I found out about it. I was told that Ben was unhappy. I called him that evening because I respect him very, very highly. I didn't reach him that evening.",cruz,r_manchester_2016_02_06,22.333333333333332,5,0,27,3.92,9,0,0,3,66,6,11.0,7.505553499465135
57,[bell rings],cruz,r_manchester_2016_02_06,2.0,0,0,2,-0.32749999999999996,0,0,0,0,2,1,2.0,0.0
58,"I reached him the next day and apologized. He asked me then, he said, Ted, would you make this apologize in public? I said, yes, I will. And I did so. I regret that subsequently, CNN reported on that — they didn't correct that story until 9:15 that night. So from 6:30 p.m. to 9:15, that's what CNN was reporting.",cruz,r_manchester_2016_02_06,74.97538461538464,6,0,16,4.5975,6,0,1,4,60,6,10.0,4.932882862316247
59,"Subsequent to that initial report, Ben's campaign put out a statement saying that he was not suspending his campaign. I wish that our campaign staff had forwarded that statement. They were unaware of it, I wish that they had, that's why I apologized.",cruz,r_manchester_2016_02_06,39.28934010152284,9,0,10,8.385,5,2,0,4,43,3,14.333333333333334,3.6817870057290873
60,"Senator Cruz, thank you.",muir,r_manchester_2016_02_06,4.0,1,0,3,6.237499999999999,0,0,1,0,4,1,4.0,0.0
61,We're going to move on here. Back to the issues...,muir,r_manchester_2016_02_06,33.879999999999995,1,0,2,0.5125,1,1,0,2,10,2,5.0,1.0
62,Since I was mentioned...,carson,r_manchester_2016_02_06,4.0,1,0,3,2.775,1,0,0,0,4,1,4.0,0.0
63,"Dr. Carson, please.",muir,r_manchester_2016_02_06,3.0,1,0,0,2.605,0,0,0,0,3,1,3.0,0.0
64,This is great you guys. I want you all to mention me when you say something. [laughter],carson,r_manchester_2016_02_06,40.459999999999994,2,0,1,2.825,2,0,3,0,17,3,5.666666666666667,4.109609335312651
65,"In fact, the time line indicates that initial tweet from CNN was followed by another one within one minute that clarified that I was not dropping out. So, what happened to that one, it is unclear. But the bottom line is, we can see what happened, everybody can see what happened and you can make your own judgment.",carson,r_manchester_2016_02_06,45.42774566473989,9,0,20,8.275,7,1,3,0,58,3,19.333333333333332,7.586537784494028
66,"Dr. Carson, thank you. Thank you, doctor.",muir,r_manchester_2016_02_06,7.0,1,0,3,1.725,0,0,2,0,7,2,3.5,0.5
67,Senator Rubio. I want to stay on the issue of readiness to be president and experience and questions about you being a first-term senator.,muir,r_manchester_2016_02_06,53.760000000000005,7,0,1,12.625,2,0,1,0,24,2,12.0,10.0
68,"Governor Christie warning voters here in New Hampshire against voting for another first-term senator as America did with Barack Obama in 2008. Arguing that you are, quote, "" not ready to be president of the United States.""",muir,r_manchester_2016_02_06,342.9999999999999,9,0,2,11.2725,2,0,1,2,37,2,18.5,3.5
69,"And Senator Santorum, who we all know, dropped out of the race and endorsed you, had a hard time when asked on national television, listing your accomplishments as senator. Tonight, what are your accomplishments in the Senate that demonstrate you are ready to be president of the United States?",muir,r_manchester_2016_02_06,74.6977777777778,10,0,9,13.055,1,1,6,0,49,2,24.5,4.5
70,"Well, let me say, from protecting the people of Florida from imminent domain abuse, to bringing accountability to the V.A., to the Girls Count Act, to sanctioning groups, I'm proud of my service in the United States Senate and before that, in the Florida legislature.",rubio,r_manchester_2016_02_06,56.229090909090914,9,0,2,19.59,5,1,0,0,45,1,45.0,0.0
71,"I will say, if politics becomes and the presidency becomes about electing people who have been Congress or in the Senate the longest, we should all rally around Joe Biden. He's been around 1,000 years. He's passed hundreds of bills and I don't think any of us believe Joe Biden should be president of the United States.",rubio,r_manchester_2016_02_06,64.97866666666667,10,0,4,8.825,4,1,0,2,57,3,19.0,10.424330514074594
72,"And let's dispel once and for all with this fiction that Barack Obama doesn't know what he's doing. He knows exactly what he's doing. Barack Obama is undertaking a systematic effort to change this country, to make America more like the rest of the world.",rubio,r_manchester_2016_02_06,45.81767759562841,8,0,5,7.9350000000000005,1,0,0,3,45,3,15.0,6.48074069840786
73,"That's why he passed Obamacare and the stimulus and Dodd-Frank and the deal with Iran. It is a systematic effort to change America. When I'm president of the United States, we are going to re-embrace all the things that made America the greatest nation in the world and we are going to leave our children with what they deserve: the single greatest nation in the history of the world.",rubio,r_manchester_2016_02_06,44.83510007013001,8,0,11,10.317499999999999,6,3,0,3,69,3,23.0,16.51262143533445
74,"Senator Rubio, thank you. [applause]",muir,r_manchester_2016_02_06,5.0,3,0,3,9.89,0,0,1,0,5,2,2.5,1.5
75,"I do want to ask Governor Christie, Governor Christie, you said fool me once, shame on you; fool me twice, shame on me when it comes to electing a first-term senator. You heard Senator Rubio make the case that he does have the experience. Your response?",muir,r_manchester_2016_02_06,42.57555555555555,6,0,13,10.01,2,0,5,2,46,3,15.333333333333334,11.953614051360738
76,"Sure. First, let's remember something. Every morning when a United States senator wakes up, they think about what kind of speech can I give or what kind of bill can I drop? Every morning, when I wake up, I think about what kind of problem do I need to solve for the people who actually elected me?",christie,r_manchester_2016_02_06,58.0,4,0,22,7.6325,5,0,0,1,57,4,14.25,11.818946653572814
77,"It's a different experience, it's a much different experience. And the fact is, Marco, you shouldn't compare yourself to Joe Biden and you shouldn't say that that's what we're doing. Here is exactly what we're doing.",christie,r_manchester_2016_02_06,21.542828685258964,4,0,0,7.76,4,2,6,2,36,3,12.0,6.48074069840786
78,You have not be involved in a consequential decision where you had to be held accountable. You just simply haven't. [applause],christie,r_manchester_2016_02_06,45.17333333333334,6,0,4,8.2125,2,0,3,1,21,3,7.0,6.48074069840786
79,"And the fact is — the fact when you talk about the Hezbollah Sanctions Act that you list as one of your accomplishments you just did, you weren't even there to vote for it. That's not leadership, that's truancy. [applause]",christie,r_manchester_2016_02_06,40.604179104477616,7,0,0,9.1625,2,1,6,1,40,3,13.333333333333334,14.70449666674185
80,"And the fact is that what we need to do — what we need to have in this country is not to make the same mistake we made eight years ago. The fact is it does matter when you have to make decisions and be held accountable for them. It does matter when the challenges don't come on a list of a piece of paper of what to vote yes or no every day, but when the problems come in from the people that you serve.",christie,r_manchester_2016_02_06,43.0,4,0,0,9.232500000000002,7,3,2,1,86,3,28.666666666666668,7.93025150224688
81,"I like Marco Rubio, and he's a smart person and a good guy, but he simply does not have the experience to be president of the United States and make these decisions. We've watched it happen, everybody. For the last seven years, the people of New Hampshire are smart. Do not make the same mistake again.",christie,r_manchester_2016_02_06,78.49333333333335,7,0,5,6.475,2,1,0,2,56,4,14.0,10.700467279516348
82,If I may respond to that. [applause],rubio,r_manchester_2016_02_06,7.0,2,0,3,2.51,2,0,0,0,7,2,3.5,2.5
83,"Governor, thank you. Senator Rubio?",muir,r_manchester_2016_02_06,5.0,3,0,2,12.265,0,0,1,0,5,2,2.5,0.5
84,"Well, I think the experience is not just what you did, but how it worked out. Under Chris Christie's governorship of New Jersey, they've been downgraded nine times in their credit rating. This country already has a debt problem, we don't need to add to it by electing someone who has experience at running up and destroying the credit rating of his state.",rubio,r_manchester_2016_02_06,152.46,9,0,26,9.95,5,2,1,3,63,3,21.0,7.0710678118654755
85,"But I would add this. Let's dispel with this fiction that Barack Obama doesn't know what he's doing. He knows exactly what he's doing. He is trying to change this country. He wants America to become more like the rest of the world. We don't want to be like the rest of the world, we want to be the United States of America. And when I'm elected president, this will become once again, the single greatest nation in the history of the world, not the disaster Barack Obama has imposed upon us.",rubio,r_manchester_2016_02_06,41.495046323568786,12,0,30,5.75,5,2,0,6,92,7,13.142857142857142,8.060991988380504
86,"Senator Rubio, thank you. I want to bring in governor bush on this, because you...",muir,r_manchester_2016_02_06,63.00000000000002,3,0,4,5.0600000000000005,2,0,2,0,15,2,7.5,3.5
87,Hold on one second.,christie,r_manchester_2016_02_06,4.0,0,0,0,0.185,0,0,0,0,4,1,4.0,0.0
88,... have made this...,muir,r_manchester_2016_02_06,3.0,0,0,2,2.0050000000000003,0,0,0,0,4,1,4.0,0.0
89,Excuse me...,christie,r_manchester_2016_02_06,2.0,0,0,0,0.44749999999999995,0,0,0,0,2,1,2.0,0.0
90,If you'd like to respond to economic...,muir,r_manchester_2016_02_06,17.92,2,0,3,5.145,1,0,1,0,7,1,7.0,0.0
91,"I think he mentioned me and my record in there, so I think I get a chance to respond. You see, everybody, I want the people at home to think about this. That's what Washington, D.C. Does. The drive-by shot at the beginning with incorrect and incomplete information and then the memorized 25-second speech that is exactly what his advisers gave him. [applause]",christie,r_manchester_2016_02_06,84.50000000000001,10,0,19,8.7175,10,0,1,3,63,5,12.6,8.8
92,"See Marco — Marco, the thing is this. When you're president of the United States, when you're a governor of a state, the memorized 30-second speech where you talk about how great America is at the end of it doesn't solve one problem for one person. They expect you to plow the snow. They expect you to get the schools open. And when the worst natural disaster in your state's history hits you, they expect you to rebuild their state, which is what I've done.",christie,r_manchester_2016_02_06,37.45360564800807,7,0,54,7.547499999999999,6,0,9,5,85,5,17.0,12.263767773404714
93,"None of that stuff happens on the floor of the United States Senate. It's a fine job, I'm glad you ran for it, but it does not prepare you for president of the United States. [applause]",christie,r_manchester_2016_02_06,39.216,4,0,4,6.5975,4,0,2,0,36,3,12.0,8.602325267042627
94,Senator Rubio?,muir,r_manchester_2016_02_06,2.0,2,0,0,12.475,0,0,0,0,2,1,2.0,0.0
95,"Chris — Chris, your state got hit by a massive snowstorm two weeks ago. You didn't even want to go back. They had to shame you into going back. And then you stayed there for 36 hours and then he left and came back to campaign. Those are the facts.",rubio,r_manchester_2016_02_06,48.16363898916968,3,0,14,2.7249999999999996,1,1,5,2,50,5,10.0,4.774934554525329
96,Here's the bottom line. This notion that Barack Obama doesn't know what he's doing is just not true. He knows exactly what he's doing.,rubio,r_manchester_2016_02_06,32.29333333333334,4,0,1,4.41,1,0,0,5,24,3,8.0,4.320493798938574
97,"There it is. There it is. The memorized 25-second speech. There it is, everybody.",christie,r_manchester_2016_02_06,12.011363636363637,1,0,0,2.7675,6,0,0,0,14,4,3.5,0.5
98,"Well, that's the — that's the reason why this campaign is so important. Because I think this notion — I think this is an important point. We have to understand what we're going through here. We are not facing a president that doesn't know what he's doing. He knows what he is doing. That's why he's done the things he's done.",rubio,r_manchester_2016_02_06,20.60775040352847,4,0,11,4.390000000000001,7,4,0,7,61,6,10.166666666666666,2.6718699236468995
99,"That's why we have a president that passed Obamacare and the stimulus. All this damage that he's done to America is deliberate. This is a president that's trying to redefine this country. That's why this election is truly a referendum on our identity as a nation, as a people. Our future is at stake.",rubio,r_manchester_2016_02_06,33.619928075163344,11,0,0,6.890000000000001,5,3,0,1,54,5,10.8,3.867815921162743
100,"This election is not about the past. It is about what kind of country this is going to be in the 21st century, and if we elect someone like Barack Obama, a Hillary Clinton, a Bernie Sanders or anyone like that, our children are going to be the first Americans to inherit a diminishes country. That will not happen if I'm elected.",rubio,r_manchester_2016_02_06,64.18588235294118,8,0,3,8.745000000000001,9,2,0,0,62,3,20.666666666666668,19.3275853524323
101,"Governor Christie, we will — we will...",muir,r_manchester_2016_02_06,6.0,1,0,0,4.845000000000001,0,2,0,0,7,1,7.0,0.0
102,"Chris, why don't you mention my name so I can get into this.",bush,r_manchester_2016_02_06,14.0,1,0,6,3.2750000000000004,3,0,1,0,13,2,6.5,0.5
103,"You know what the shame is — you know what the shame is, Marco? The shame is that you would actually criticize somebody for showing up to work, plowing the streets, getting the trains running back on time when you've never been responsible for that in your entire life.",christie,r_manchester_2016_02_06,34.623263888888886,7,0,1,10.532499999999999,4,0,6,0,49,2,24.5,10.5
104,"Chris, you didn't want to go back. You didn't want to go back. [applause]",rubio,r_manchester_2016_02_06,16.0,1,0,8,2.11,0,0,2,0,14,3,4.666666666666667,2.6246692913372702
105,"And the fact is, I went back, it got done and here's...",christie,r_manchester_2016_02_06,47.320000000000036,0,0,0,1.955,3,1,0,2,12,1,12.0,0.0
106,"You didn't want to go back, Chris.",rubio,r_manchester_2016_02_06,8.0,0,0,3,1.1400000000000001,0,0,1,0,7,1,7.0,0.0
107,"Oh, so — wait a second. Is that one of the skills you get as a United States senator ESP also? Because I don't think it is.",christie,r_manchester_2016_02_06,102.06,1,0,8,1.9500000000000002,4,0,1,0,27,3,9.0,4.242640687119285
108,"Chris, everybody — you said you weren't going to go back. He told everyone he wasn't going to go back. They had to shame him into going back. And when he decided to go back, he criticized the young lady, saying, what am I supposed to do, go back with a mop and clean up the flooding?",rubio,r_manchester_2016_02_06,33.499454091166776,6,0,15,5.232500000000001,2,1,3,6,57,4,14.25,8.584142356694699
109,It gets very unruly when he gets off his talking points.,christie,r_manchester_2016_02_06,33.879999999999995,2,0,1,4.09,1,0,0,2,11,1,11.0,0.0
110,"Governor Christie — thank you, Governor. I will mention — listen...",muir,r_manchester_2016_02_06,22.679999999999993,2,0,5,5.5375,1,0,1,0,11,2,5.5,0.5
111,"... It's your record, it's not a talking point...",rubio,r_manchester_2016_02_06,12.000000000000002,1,0,0,4.0875,2,0,2,0,9,1,9.0,0.0
112,"... Listen, people... [applause]",muir,r_manchester_2016_02_06,3.0,1,0,0,13.155000000000001,0,0,0,0,4,1,4.0,0.0
113,"Governor Bush, I'll mention your name so that you can come in on this...",muir,r_manchester_2016_02_06,15.0,2,0,5,5.595000000000001,2,0,3,0,14,1,14.0,0.0
114,"... I appreciate that, I really do, thank you.",bush,r_manchester_2016_02_06,17.92,1,0,1,6.3625,2,0,1,0,9,2,4.5,3.5
115,"I want to bring you in on this because you've made this central to your campaign right here in New Hampshire in the last couple of days. Four Years ago you said of Senator Rubio, he was ready to be Vice President. You spoke of his experience as well. You said he has the fortitude to be a good President, but just this week you said Senator Rubio accomplished, quote, ""nothing"" in the Senate. How do you square the two?",muir,r_manchester_2016_02_06,52.774435971268545,11,0,10,6.925000000000001,5,2,9,5,80,5,16.0,8.763560920082657
116,"Well, first of all he said the exact same thing about me, that I would make a great Vice Presidential nominee when Mitt Romney was considering. I said the same thing about Marco. I think we were both right at the time, and Mitt picked somebody else. So, let's move on to the 2016 race. Who has the leadership skills... [applause]...who has the leadership skills to lead? And, I'm proud of the fact that I have 12 Medal of Honor recipients, over 30 admirals and generals that believe that I would be a steady hand as Commander in Chief. That I serve as Governor of the state of Florida where we cut taxes and reduced government. I took on very powerful interests, forged consensus, fought for my beliefs, implemented them and the state was better off.",bush,r_manchester_2016_02_06,80.11108690465076,19,0,13,8.525,12,4,0,1,136,9,15.11111111111111,8.92492694578809
