,segment,speaker,debate,mtld,n_difficult_words,n_opponent_mentions,n_words_before_main_verb,readability,person_1sg,person_1pl,person_2,person_3,n_words,n_sents,mean_sent_length,std_sent_length,segment_length
16,"Candidates, you have one minute and 15 seconds to answer each question, and 45 seconds to respond to followups or for rebuttals if your name is invoked. That's longer than you've had in previous debates.",tapper,r_miami_2016_03_10,68.59999999999998,8,0,0,9.445,4,0,4,0,35,2,17.5,9.5,203
17,"Timing lights will be visible. Those lights will warn you when time is up. And as you requested, a bell will also sound, like this.",tapper,r_miami_2016_03_10,43.74999999999999,3,0,12,3.8825,1,0,2,0,25,3,8.333333333333334,2.494438257849294,131
18,[bell rings],tapper,r_miami_2016_03_10,2.0,0,0,2,-0.32749999999999996,0,0,0,0,2,1,2.0,0.0,12
19,"We know that each of you wants to debate these important issues, but please wait until you are called upon and please do not talk over one another. These are the rules to which all of you agreed.",tapper,r_miami_2016_03_10,57.76,2,0,1,6.92,2,1,3,0,38,2,19.0,9.0,195
20,Our goal this evening is a serious debate on the issues.,tapper,r_miami_2016_03_10,11.0,3,0,0,5.574999999999999,2,1,0,0,11,1,11.0,0.0,56
21,It's time now for opening statements. You'll each have 30 seconds.,tapper,r_miami_2016_03_10,12.0,3,0,0,3.9275,1,0,1,0,11,2,5.5,0.5,66
22,"Governor Kasich, we will start with you.",tapper,r_miami_2016_03_10,7.0,2,1,5,5.942499999999999,0,1,1,0,7,1,7.0,0.0,40
23,"Well, thank you. You know, I look in the faces of people all across this country, and I know they want to be hopeful. And many are hopeful. Look, I can take conservative policies to the White House, to Washington, to restore the strength of our economy. But I also want to transfer power, money and influence to where you live, because I believe the strength in this country rests in the neighborhoods, the families, the communities and our states.",kasich,r_miami_2016_03_10,43.6925330099087,10,0,13,8.38,9,3,3,1,80,5,16.0,11.278297743897348,448
24,And I believe it's a new partnership — a partnership that can allow us to restore the spirit of America and strengthen America for the best century we've ever had.,kasich,r_miami_2016_03_10,53.81600000000002,4,0,2,12.932500000000001,2,1,0,0,30,1,30.0,0.0,163
25,Thank you.,kasich,r_miami_2016_03_10,2.0,0,0,0,-2.2275,0,0,1,0,2,1,2.0,0.0,10
26,Senator Rubio?,tapper,r_miami_2016_03_10,2.0,2,1,0,12.475,0,0,0,0,2,1,2.0,0.0,14
27,Every election is important. I believe this is the most important election in a generation. Because what's at stake in this election is not simply what party is going to be in charge or which candidate wins. What's at stake is our identity as a nation and as a people.,rubio,r_miami_2016_03_10,27.029941706412295,6,0,15,6.285,12,1,0,0,50,4,12.5,6.422616289332565,268
28,"For over two centuries, America has been an exceptional nation. And now the time has come for this generation to do what it must do to keep it that way. If we make the right choice in this election, our children are going to be the freest and most prosperous Americans that have ever lived. And the 21st century is going to be a new American century.",rubio,r_miami_2016_03_10,73.93647058823531,8,0,23,7.65,5,2,0,0,67,4,16.75,6.057020719792859,350
29,Senator Cruz?,tapper,r_miami_2016_03_10,2.0,1,1,0,9.675,0,0,0,0,2,1,2.0,0.0,13
30,"Fifty-nine years ago, Florida welcomed my father to America as he stepped off the ferry boat from Cuba onto Key West. He was 18. He was filled with hopes and dreams, and yet he was in the freest land on the face of the earth.",cruz,r_miami_2016_03_10,52.11555555555555,5,0,9,5.245,2,2,0,4,45,3,15.0,8.48528137423857,225
31,"This election, this debate is not about insults. It's not about attacks. It's not about any of the individuals on this stage. This election is about you and your children. It's about the freedom America has always had and making sure that that freedom is there for the next generation, that we stop Washington from standing in the way of the hard-working taxpayers of America.",cruz,r_miami_2016_03_10,25.51876379690949,10,0,0,7.5125,9,1,3,0,65,5,13.0,11.171392035015153,376
32,Mr. Trump?,tapper,r_miami_2016_03_10,2.0,0,1,0,-2.9524999999999997,0,0,0,0,2,1,2.0,0.0,10
33,"One of the biggest political events anywhere in the world is happening right now with the Republican Party. Millions and millions of people are going out to the polls and they're voting. They're voting out of enthusiasm. They're voting out of love. Some of these people, frankly, have never voted before — 50 years old, 60 years old, 70 years old — never voted before.",trump,r_miami_2016_03_10,27.54933110367893,8,0,30,7.1575,2,0,0,3,65,5,13.0,7.127411872482185,368
34,"We're taking people from the Democrat Party. We're taking people as independents, and they're all coming out and the whole world is talking about it. It's very exciting. I think, frankly, the Republican establishment, or whatever you want to call it, should embrace what's happening.",trump,r_miami_2016_03_10,48.82585445245293,8,0,5,8.8,6,2,1,1,45,4,11.25,6.417748826496718,283
35,We're having millions of extra people join. We are going to beat the Democrats. We are going to beat Hillary or whoever it may be. And we're going to beat them soundly.,trump,r_miami_2016_03_10,29.526315789473685,3,0,9,3.5300000000000002,1,4,0,0,32,4,8.0,1.7320508075688772,168
36,Thank you. Thank you.,tapper,r_miami_2016_03_10,4.0,0,0,0,0.2750000000000001,0,0,2,0,4,2,2.0,0.0,21
37,"Let's begin with jobs and the economy, which Republican voters say is the most important issue to them in this election. There have been some real differences expressed in — on this stage on whether trade deals have been good for the American workers. One of Mr. Trump's, the front runner's, signature issues is ending what he calls ""disastrous trade deals"" in order to bring jobs back to America.",tapper,r_miami_2016_03_10,83.02823529411765,12,1,14,9.067499999999999,8,0,0,1,69,3,23.0,1.632993161855452,397
38,"Governor Kasich, I'd like to start with you. You've been a strong advocate for these trade deals over the years. Critics say these deals are great for corporate America's bottom line, but have cost the U.S. at least 1 million jobs. How do you respond to the criticism that you've been catering to board rooms at the expense of the American middle class?",tapper,r_miami_2016_03_10,78.5575,10,1,9,8.227500000000001,1,0,4,0,63,4,15.75,5.931905258852336,353
39,"Well, Jake, I grew up in a blue collar family. And the simple fact of the matter is that of course we're sensitive about trade. One out of five Americans works in a job connected to trade; 38 million Americans are connected to it.",kasich,r_miami_2016_03_10,60.231111111111105,3,0,22,6.765,5,2,0,0,44,3,14.666666666666666,3.681787005729087,230
40,"But my position has always been we want to have free trade, but fair trade. And I've been arguing all along that it is absolutely critical that when other countries break those agreements, we don't turn the process over to some international bureaucrat who comes back a couple years later and says, ""Oh, America was right,"" and people are out of work.",kasich,r_miami_2016_03_10,143.36,10,0,11,13.695,5,2,0,0,62,2,31.0,16.0,351
41,"The fact of the matter is we have to have an expedited process. When people cheat, when countries cheat and they take advantage of us, we need to blow the whistle. And as president of the United States, I absolutely will blow the whistle and begin to stand up for the American worker.",kasich,r_miami_2016_03_10,37.321408972424194,5,0,26,8.2575,2,2,0,1,53,3,17.666666666666668,3.6817870057290873,284
42,"But we don't want to lock the doors and pull down the blinds and leave the world. Because frankly, if we do that, prices will go up. People will buy less. Other people will be out of work. And we don't want to see that happen.",kasich,r_miami_2016_03_10,48.0,0,0,20,2.255,1,3,0,0,46,5,9.2,4.354308211415448,226
43,"Trade, though, has to be balanced and we have to make sure that when we see a violation, like some country dumping their products into this country, believe me as president, I will stand up and I will shut down those imports because they're a violation of the agreement we have and the American worker expects us to stand up.",kasich,r_miami_2016_03_10,69.45866666666666,8,0,6,21.9225,4,3,0,2,60,3,20.0,11.224972160321824,325
44,"And Jake, my family worked in the steel industry, not with a white collar. I understand their plight.",kasich,r_miami_2016_03_10,18.0,1,0,6,5.505000000000001,4,0,0,1,18,2,9.0,5.0,101
45,"Mr. Trump, your critics say your campaign platform is inconsistent with how you run your businesses, noting that you've brought in foreign workers instead of hiring Americans, and your companies manufacture clothing in China and Mexico.",tapper,r_miami_2016_03_10,63.88666666666667,12,1,5,19.305,5,0,10,0,36,1,36.0,0.0,236
46,Why should voters trust that you will run the country differently from how you run your businesses?,tapper,r_miami_2016_03_10,40.459999999999994,3,0,3,9.897499999999999,0,0,4,0,17,1,17.0,0.0,99
47,"Because nobody knows the system better than me. I know the H1B. I know the H2B. Nobody knows it better than me. I'm a businessman. These are laws. These are regulations. These are rules. We're allowed to do it. And frankly, because of the devaluations that other countries — the monetary devaluations that other countries are constantly doing and brilliantly doing against us, it's very, very hard for our companies in this country, in our country, to compete.",trump,r_miami_2016_03_10,27.651515151515152,12,0,7,6.2525,8,3,0,0,78,10,7.8,10.514751542475931,460
48,"So I will take advantage of it; they're the laws. But I'm the one that knows how to change it. Nobody else on this dais knows how to change it like I do, believe me.",trump,r_miami_2016_03_10,42.59111111111112,1,0,14,2.9725,6,0,0,1,35,3,11.666666666666666,2.357022603955158,165
49,"Senator Rubio, last October, you said that you're, quote, ""generally very much in favor of free trade."" More recently, you backed a away from your support of some trade deals. If elected, will you support free trade deals even if it means the inevitable loss of U.S. jobs?",tapper,r_miami_2016_03_10,63.63636363636365,7,1,16,7.885,5,0,6,0,48,3,16.0,2.160246899469287,272
50,"No, I support free trade deals that are good for America. We're 5 percent of the world's population. If all we do is sell things to each other, we can only sell to 5 percent of the people on earth. We have to have access to the hundreds of millions of people in the world today who can afford to buy things.",rubio,r_miami_2016_03_10,51.527027027027025,7,0,8,5.5875,4,4,0,0,62,4,15.5,6.652067347825035,307
51,"The problem is we're a low-tariff country. To import something into the United States is not very expensive, but many of these countries we can't export to because their tariffs are too high. And so I am in favor of deals that allow us to bring down those tariffs so that America can sell things to all these people around the world.",rubio,r_miami_2016_03_10,88.22153846153847,7,0,0,8.455,6,2,0,1,62,3,20.666666666666668,9.741092797468305,333
52,"There are good trade deals and there are bad ones. So for example, here in Florida, we have benefited from the free trade deal with Colombia. It's allowed flower exporters to come into the United States but it's created jobs for hundreds of people who are now delivering those flowers and working in that industry. We have a surplus with Colombia.",rubio,r_miami_2016_03_10,79.38000000000001,13,0,12,8.469999999999999,6,2,0,2,61,5,12.2,4.664761515876241,347
53,"On the other hand, you've seen trade deals like in Mexico that have been less than promising in some aspects, better in others. Bottom line is I believe that America, if given access to foreign markets, our workers are the most productive in the world, our people are the most innovative on this planet. If it is a free and fair trade deal, we can compete against anyone in the world, and we need to in the 21st century.",rubio,r_miami_2016_03_10,70.41533546325878,13,0,19,10.7925,13,4,1,0,79,3,26.333333333333332,3.39934634239519,420
54,"Senator Cruz, you were a supporter of the Pacific trade deal, but after taking some heat from conservatives, you changed your position. Why should these voters who don't like these trade deals trust that you will fight for them all the time and not just in election years?",tapper,r_miami_2016_03_10,134.45600000000002,7,1,0,11.2575,1,1,5,1,48,2,24.0,2.0,272
55,"Actually that's incorrect. There are two different agreements. There's TPA and TPP. I opposed TPP and have always opposed TPP, which is what you asked about. And when it comes to trade, look, free trade, when we open up foreign markets, helps Americans. But we're getting killed in international trade right now. And we're getting killed because we have an administration that's doesn't look out for American workers and jobs are going overseas. We're driving jobs overseas.",cruz,r_miami_2016_03_10,55.13200903729351,12,0,32,7.140000000000001,6,5,1,1,77,9,8.555555555555555,4.645454435637083,474
56,"And the people who are losing out are in manufacturing jobs, or the steel industry or the auto industry. But I'll tell you who else is going to be losing out, which is the service industry. This Obama administration is negotiating the Trade in Services Agreement which is another treaty to allow services to come in and take jobs from Americans as well.",cruz,r_miami_2016_03_10,43.562400684512895,9,0,7,10.4025,11,1,1,0,63,3,21.0,4.320493798938574,353
57,"And you've got to understand. Trade and immigration are interwoven, and they are hurting the working men and women of this country. So the question is, what's the solution? It's easy to talk about the problems. But do you have a solution to fix it? And I think the solution is several things.",cruz,r_miami_2016_03_10,45.55223880597015,6,0,5,5.12,7,0,2,1,53,6,8.833333333333334,3.847798793538398,292
58,"Number one, we need to negotiate trade deals protecting American workers first, not the corporate board room. Number two, we need to lift the regulations on American businesses here so we see jobs coming back. And number three, we need a tax plan like the tax plan I've introduced that will not tax exports and that will tax imports, and that will bring millions of high-paying jobs back to America.",cruz,r_miami_2016_03_10,36.157407407407405,11,0,15,11.1675,3,4,0,2,70,4,17.5,10.828203913853857,399
59,Let's talk more about how American jobs are impacted by foreign workers. Let's go to Stephen Dinan of the Washington Times. Stephen.,tapper,r_miami_2016_03_10,53.760000000000005,5,0,0,7.6575,1,0,0,0,22,3,7.333333333333333,4.642796092394707,132
60,"Senator Rubio in late 2014, Disney laid off 250 tech workers in Orlando, replacing many of them with foreign workers. Some of the Americans even had to train their own replacements. You support increasing the H-1B visa program that made it possible to bring in these foreign workers. Doesn't this program take jobs away from Americans?",dinan,r_miami_2016_03_10,84.70000000000003,12,1,12,9.227500000000001,5,0,1,1,56,4,14.0,4.743416490252569,335
61,"If it's being abused the way Disney did. Understand that program, it is illegal now under that program to use it to replace American workers. Under that program, you have to prove not only that you're not replacing Americans, but that you've tried to hire Americans. And if a company is caught abusing that process, they should never be allowed to use it again.",rubio,r_miami_2016_03_10,44.76143555811277,9,0,18,8.0975,9,0,3,1,64,4,16.0,4.847679857416329,361
62,"The second problem with the current structure of the program that people perhaps don't understand is a lot of these companies are not directly hiring employees from abroad. They are hiring a consulting company like Tata, for example, out of India. That company then hoards up all of these visas. They hire workers. You hire — Disney or some other company hires this company.",rubio,r_miami_2016_03_10,76.45866666666667,13,0,7,8.13,2,0,1,2,64,5,12.8,8.304215796810679,374
63,"What they're basically doing is they are insourcing and outsourcing. They are bringing in workers from abroad that are not direct employees of a Disney or someone else, they're employees of this consulting business. And what I argue is that no consulting business such as that should be allowed to hoard up all of these visas, that the visas should only be available for companies to use to directly hire workers and that we should be stricter in how he enforce it.",rubio,r_miami_2016_03_10,55.497789867392044,15,0,0,12.4825,7,1,0,5,82,3,27.333333333333332,15.69146972791976,465
64,"It is illegal now, it is a violation of the law now to use that program to replace Americans. And if a company is caught doing that, whether it be Disney or anyone else, they should be barred from using the program in the future.",rubio,r_miami_2016_03_10,37.3359375,9,0,20,9.1975,9,0,0,1,45,2,22.5,3.5,229
65,"Senator Rubio, real quick follow-up on this.",dinan,r_miami_2016_03_10,7.0,2,1,0,8.0925,0,0,0,0,7,1,7.0,0.0,44
66,"You've — in the — in the context of illegal immigration, you've called for basically putting off any legalization process until we get the border secured.",dinan,r_miami_2016_03_10,31.928000000000004,7,0,0,14.240000000000002,4,1,2,0,26,1,26.0,0.0,154
67,Correct.,rubio,r_miami_2016_03_10,1.0,0,0,0,5.1975,0,0,0,0,1,1,1.0,0.0,8
68,Why not call for a pause on H1Bs until those abuses you've talked about are solved.,dinan,r_miami_2016_03_10,17.0,1,0,2,6.045,0,0,1,0,16,1,16.0,0.0,83
69,"Well first, I think — well, I'd be open to it if it takes a pause. But I don't think it takes a pause to enforce the law. What they are doing is they are in fact using that program to replace an American.",rubio,r_miami_2016_03_10,31.969936708860757,5,0,8,3.9275,9,2,0,2,44,3,14.666666666666666,1.8856180831641267,204
70,"If there's an American working at Disney and they bring someone from another country using H1B to replace their direct job, that's in violation of the law. And what I'm explaining to you is, what they are doing now is they are not — what they are doing is they are eliminating the job.",rubio,r_miami_2016_03_10,46.687361419068736,8,0,0,11.004999999999999,6,0,1,6,54,3,18.0,6.683312551921141,285
71,They are outsourcing the entire tech division to a consulting company. They are making the argument that we didn't replace you. We just replaced the whole unit by hiring a company to do it instead. And that company that they're hiring is bringing their workers from abroad. It's a loophole they've figured out that we need to close so they can no longer continue to do it that way.,rubio,r_miami_2016_03_10,47.82450692562482,13,0,14,7.3325,5,3,1,6,69,5,13.8,4.308131845707604,381
72,"Governor Kasich, I want to come to you next. Mr. Trump says that legal immigration is producing quote, ""lower wages and higher unemployment for U.S. workers"". He's calling for a pause on green cards issued to foreign workers. Wouldn't that help workers in the U.S.?",dinan,r_miami_2016_03_10,74.6977777777778,11,2,11,7.494999999999999,5,0,1,2,45,4,11.25,3.766629793329841,265
73,"Well look, I believe in immigration, but it has to be controlled. The simple fact of the matter is I wouldn't be standing here. I'd be maybe running for president of Croatia if we didn't have immigration.",kasich,r_miami_2016_03_10,56.000000000000014,5,0,8,7.0125,9,2,0,2,37,3,12.333333333333334,0.4714045207910317,204
74,"Immigration is something that brings youth and vibrance and energy to our country. But we clearly have to control our borders. We can't have people just walking in. Look, we lock our doors at night in our homes. The country has to be able to lock its doors as well. So, we — I have a comprehensive plan to deal with this problem of immigration.",kasich,r_miami_2016_03_10,56.44736842105263,9,0,3,5.047499999999999,7,9,1,0,65,6,10.833333333333334,2.793842435706702,344
75,"I would say we have to absolutely finish the wall and guard the border. And if anybody were to come in after that, they are going to have to go back. No excuses because we can't continue this problem. I think we ought to have a guest worker program, where people come in, work and go home.",kasich,r_miami_2016_03_10,62.79466666666668,6,0,15,5.7925,5,4,0,1,57,4,14.25,3.897114317029974,289
76,"And I think at the same time, for the 11 and a half million who are here, then in my view if they have not committed a crime since they've been here, they get a path to legalization. Not to citizenship. I believe that program can pass the Congress in the first 100 days.",kasich,r_miami_2016_03_10,60.50153846153848,5,0,3,6.6274999999999995,6,0,0,7,54,3,18.0,14.719601443879744,270
77,"But let's not lose sight of the fact that the whole key to the future of America is strong economic growth with common sense regulation, lower taxes and a balanced budget.",kasich,r_miami_2016_03_10,95.57333333333334,8,0,1,13.149999999999999,1,0,0,0,31,1,31.0,0.0,171
78,"We can have a rising tide that lifts all the workers in America, all the people who are citizens of America, if we'll just follow the formula that works, that I used in Washington. And guess what, I've used it in Ohio to grow over 400 private sector jobs since I've been governor",kasich,r_miami_2016_03_10,65.15384615384616,7,0,36,10.6725,8,2,0,0,53,2,26.5,7.5,279
79,"Mr. Trump, I do want to come to you. Will you also in your answer, address how long you think that pause would be and what that pause would look like.",dinan,r_miami_2016_03_10,44.84666666666666,0,1,12,4.51,2,0,5,0,31,2,15.5,6.5,150
80,"I will. First of all, I think and I know the H1B very well. And it's something that I frankly use and I shouldn't be allowed to use it. We shouldn't have it. Very, very bad for workers. And second of all, I think it's very important to say, well, I'm a businessman and I have to do what I have to do.",trump,r_miami_2016_03_10,24.85400385094575,3,0,16,3.53,14,3,0,0,63,7,9.0,7.171371656006362,300
81,"When it's sitting there waiting for you, but it's very bad. It's very bad for business in terms of — and it's very bad for our workers and it's unfair for our workers. And we should end it. Very importantly, the Disney workers endorsed me, as you probably read.",trump,r_miami_2016_03_10,25.413934426229506,6,0,14,5.465,8,3,2,0,49,5,9.8,3.9698866482558417,261
82,"And I got a full endorsement because they are the ones that said, and they had a news conference, and they said, he's the only one that's going to be able to fix it. Because it is a mess. I think for a period of a year to two years we have to look back and we have to see, just to answer the second part of your question, where we are, where we stand, what's going on.",trump,r_miami_2016_03_10,40.5,3,0,3,8.35,5,4,2,4,78,4,19.5,10.547511554864494,368
83,"We have to sort of take a strong, good, hard look and come up with plans that work. And we're rushing into things, and we're just — we're leading with the chin.",trump,r_miami_2016_03_10,37.23,2,0,6,4.9875,1,4,0,0,32,3,10.666666666666666,5.2493385826745405,160
84,[bell rings],trump,r_miami_2016_03_10,2.0,0,0,2,-0.32749999999999996,0,0,0,0,2,1,2.0,0.0,12
85,"We're leading with people that don't know what they are doing in terms of our leadership. I'd say a minimum of one year, maybe two years.",trump,r_miami_2016_03_10,235.4800000000003,4,0,4,5.994999999999999,2,2,0,1,26,2,13.0,3.0,137
86,"Senator Cruz, I want to bring you in very quickly on this.",dinan,r_miami_2016_03_10,12.0,1,1,4,4.7775,2,0,1,0,12,1,12.0,0.0,58
87,The United States averages about a million new permanent legal immigrants a year and hundreds of thousands more guest workers. What should the right level be?,dinan,r_miami_2016_03_10,94.64000000000007,7,0,0,9.32,1,0,0,0,26,2,13.0,7.0,158
88,"Well, we need to redefine our legal immigration system so that it meets the needs of the American economy. Right now, we're bringing in far too many low skilled workers. What that is doing is driving down the wages of hard-working Americans. Our system isn't working. And then on top of that, we've got a system that's allowing in millions of people to be here illegally.",cruz,r_miami_2016_03_10,85.75000000000003,14,0,26,7.699999999999999,8,6,0,2,66,5,13.2,5.844655678480984,371
89,"And the answer to that, I've laid out a very, very detailed immigration plan on my website. We're going to build a wall, triple the border patrol. We're going to end sanctuary cities. And let me tell you how we're going to do that.",cruz,r_miami_2016_03_10,48.0,6,0,13,4.8175,3,4,1,0,44,4,11.0,3.9370039370059056,231
90,We're going to cut off federal taxpayer funds to any city that defies federal immigration laws.,cruz,r_miami_2016_03_10,40.459999999999994,4,0,2,11.3575,1,1,0,0,16,1,16.0,0.0,95
91,"We're going to end welfare benefits for anyone who is here illegally. And the thing to understand, Stephen, we can solve these problems. It's not that we don't know how to do it. It's that we're lacking the political will. Neither of the parties in Washington wants to do this.",cruz,r_miami_2016_03_10,60.50000000000001,8,0,18,5.825,6,5,0,2,50,5,10.0,1.6733200530681511,277
92,The Democrats support illegal immigration because they view those illegal immigrants as potential voters and far too many of the Republicans are doing the bidding of Wall Street and the special interest and they view it as cheap labor.,cruz,r_miami_2016_03_10,42.58800000000001,12,0,2,18.66,6,0,0,2,39,1,39.0,0.0,235
93,We need instead leadership that works for the working men and women of this country. We need an immigration system that takes care of the jobs of the working men and women of this country.,cruz,r_miami_2016_03_10,35.0,4,0,2,8.1725,2,2,0,0,35,2,17.5,2.5,188
94,"Senator Rubio, did you want to weigh in?",tapper,r_miami_2016_03_10,8.0,2,1,5,4.289999999999999,1,1,1,0,8,1,8.0,0.0,40
95,"Well, I would add when you talk about the millions of green cards that are coming in, those aren't actually workers at all. They are just coming in primarily based on family connection. And ;let me tell you, when my parents came in 1956, I acknowledge that my parents came to the U.S. on a family-based system.",rubio,r_miami_2016_03_10,72.45538461538462,8,0,5,8.795,7,1,2,1,57,3,19.0,6.377042156569663,310
96,"The problem is nothing looks like it did 60 years ago. The 21st Century economy simply is not creating enough jobs for people that don't have skills. When my parents came, they had a very limited education. My father stopped going to school when he was 9 years old because his mother died and he had to work. And he would work the next 70 years of his life and never go back to school. And I'm grateful every day that America welcomed them.",rubio,r_miami_2016_03_10,101.52210526315793,9,0,12,6.2299999999999995,6,1,0,6,84,6,14.0,4.320493798938574,440
97,"But today in the 21st Century, 60 years later, finding jobs when you don't have skills is very difficult. We need to move to a merit- based system of immigration, not just on H-1B, particularly on green cards. The primary criteria for bringing someone from abroad in the 21st Century should be, what skills do you have? What business are you going to open? What investment are you going to make? What job are you going to be able to do when you arrive in the United States?",rubio,r_miami_2016_03_10,60.01788820984075,12,0,13,7.255000000000001,6,1,6,0,88,6,14.666666666666666,5.467073155618908,473
98,Education obviously plays a large role when it comes to jobs and the economy. The United States has long been falling behind others in the industrialized world. American students currently rank 27th out of 34 countries in math and 17th in reading.,tapper,r_miami_2016_03_10,78.44666666666666,9,0,11,9.175,5,0,0,0,42,3,14.0,0.816496580927726,247
99,"Mr. Trump, you've called the education standards known as Common Core a disaster. What are your specific objections to Common Core?",tapper,r_miami_2016_03_10,67.75999999999999,6,1,5,9.612499999999999,0,0,3,0,21,2,10.5,2.5,131
100,"Education through Washington, D.C. I don't want that. I want local education. I want the parents, and I want all of the teachers, and I want everybody to get together around a school and to make education great.",trump,r_miami_2016_03_10,18.704663212435232,5,0,5,5.6825,5,0,0,0,38,4,9.5,9.526279441628825,211
101,"And it was very interesting, I was with Dr. Ben Carson today, who is endorsing me, by the way, tomorrow morning, and he is...",trump,r_miami_2016_03_10,53.760000000000005,2,1,0,5.2524999999999995,5,0,0,1,24,1,24.0,0.0,125
102,"We were talking. We spoke for over an hour on education. And he has such a great handle on it. He wants competitive schools. He wants a lot of different things that are terrific, including charter schools, by the way, that the unions are fighting like crazy. But charter schools work and they work very well.",trump,r_miami_2016_03_10,62.720000000000006,7,0,10,5.1775,2,4,0,4,56,7,8.0,6.458659745975609,308
103,"So there are a lot of things. But I'm going to have Ben very involved with education, something that's an expertise of his.",trump,r_miami_2016_03_10,174.9999999999999,3,0,3,5.75,2,0,0,1,23,2,11.5,4.5,123
104,"OK. But just to clarify, the Common Core standards were developed by the states, states and localities voluntarily adopt them, and they come up with their own curricula to meet those standards. So when you say ""education by Washington, D.C.,"" what do you mean?",tapper,r_miami_2016_03_10,81.00000000000001,9,0,25,12.1025,0,1,2,2,44,3,14.666666666666666,12.391753530294071,260
105,"You're right, Jake. But it has been taken over by the federal government. It was originally supposed to be that way. And certainly sounds better that way. But it has all been taken over now by the bureaucrats in Washington, and they are not interested in what's happening in Miami or in Florida, in many cases.",trump,r_miami_2016_03_10,45.91666666666667,9,0,14,7.13,9,0,1,1,56,5,11.2,9.19565114605812,310
106,Now in some cases they would be. But in many cases they are more interested in their paycheck and the big bureaucracy than they are taking care of the children.,trump,r_miami_2016_03_10,36.000000000000014,3,0,0,6.975,4,0,0,4,30,2,15.0,8.0,160
107,"Governor Kasich, you have called opposition to Common Core hysteria. What is your response to grassroots conservatives who do not agree with you?",tapper,r_miami_2016_03_10,74.05999999999996,8,1,5,10.1675,1,0,4,0,23,2,11.5,1.5,145
108,"Well, look, all I'm in favor of in Ohio is high standards. First of all, let me tell you, I would take 125 federal education programs, put them in four buckets, and send them back to the states. OK, I've been working on this for many, many years.",kasich,r_miami_2016_03_10,57.89073943661973,6,0,9,5.975,7,1,1,0,48,3,16.0,7.118052168020874,246
