speaker,segment,debate,n_applauses,n_crosstalks,n_opponent_mentions,n_trump_mentions,lexical_diversity,n_difficult_words,n_words_before_main_verb,readability,person_1sg,person_1pl,person_2,person_3,n_words,n_sents,mean_sent_length,std_sent_length,segment_length
GUTHRIE,"I'll give you 10 seconds to answer if you want to answer the direct question. Would you support a 70 percent individual marginal tax rate? Yes, no, or pass?",Miami-FL,0,0,0,0,54.87999999999999,5,2.25,5.3,0,0,3,0,29,3,9.666666666666666,4.4969125210773475,156
O'ROURKE,I would support a tax rate and a tax code that is fair to everyone. Tax capital at the same right . . .,Miami-FL,0,0,0,0,41.15999999999999,1,1.0,3.24,1,0,0,0,24,2,12.0,3.0,103
GUTHRIE,Seventy percent?,Miami-FL,0,0,0,0,2.0,1,0.0,10.099999999999998,0,0,0,0,2,1,2.0,0.0,16
O'ROURKE,. . . that you — you tax ordinary income. Take that corporate tax rate up to 28 percent. You would generate the revenues . . .,Miami-FL,0,0,0,0,20.40142335766424,5,1.5,6.317500000000001,0,0,3,0,27,6,4.5,3.547299442298794,126
GUTHRIE,"okay, that's time.",Miami-FL,0,0,0,0,4.0,0,0.0,0.81,0,0,0,0,3,1,3.0,0.0,18
O'ROURKE,. . . you need to pay for the programs we're talking about.,Miami-FL,0,0,0,0,11.0,2,2.0,5.325,0,0,1,0,13,1,13.0,0.0,59
GUTHRIE,That's time. Thank you.,Miami-FL,0,0,0,0,5.0,0,0.0,1.2125,0,0,0,0,4,2,2.0,0.0,23
GUTHRIE,"Senator Booker, there is a debate in this party right now about the role of corporations, as you know. Senator Warren in particular put out a plan to break up tech companies like Facebook, Amazon, and Google. You’ve said we should not, quote, “be running around pointing at companies and breaking them up without any kind of process."" Why do you disagree?",Miami-FL,0,0,2,0,134.54000000000002,12,2.5,8.3125,0,1,2,0,62,4,15.75,6.299801584177076,355
BOOKER,"I don’t think I disagree. I think we have a serious problem in our country with corporate consolidation. And you see the evidence of that in how dignity is being stripped from labor, and we have people that work full-time jobs and still can’t make a living wage.",Miami-FL,0,0,0,0,47.30077611940299,8,1.5,8.325,3,3,1,0,48,3,16.0,10.424330514074594,262
BOOKER,We see that because consumer prices are being raised by pharmaceutical companies that often have monopolistic holds on drugs. And you see that by just the fact that this is actually an economy that's hurting small businesses and not allowing them to compete.,Miami-FL,0,0,0,0,77.44000000000003,10,1.0,12.809999999999999,0,1,1,0,43,2,21.5,2.5,258
BOOKER,One of the most aggressive bills in the Senate to deal with corporate consolidation is mine about corporate consolidation in the ag sector. So I feel very strongly about the need to check the corporate consolidation and let the free market work.,Miami-FL,0,0,0,0,42.0,6,1.0,11.344999999999999,2,0,0,0,42,2,21.0,2.0,245
BOOKER,"And I’ll tell you this. I live in a low-income black and brown community. I see every single day that this economy is not working for average Americans. The indicators that are being used, from GDP to Wall Street’s rankings, is not helping people in my community. It is about time that we have an economy that works for everybody, not just the wealthiest in our nation.",Miami-FL,0,0,0,0,78.5575,10,4.4,7.6075,3,2,1,0,67,5,13.4,5.748043145279966,369
GUTHRIE,"But quickly, Senator Booker, you did say that you didn't think it was right to name names, to name companies and single them out, as Senator Warren has. Briefly, why is that?",Miami-FL,0,0,2,0,60.984000000000016,4,4.0,7.35,0,0,2,0,32,2,16.0,12.0,174
BOOKER,"Well, again, I will single out companies like Halliburton or Amazon that pay nothing in taxes and our need to change that. And when it comes to antitrust law, what I will do is, number one, appoint judges that will enforce it, number two, have a DOJ and a Federal Trade Commission that will go through the processes necessary to check this kind of corporate concentration.",Miami-FL,0,0,0,0,87.12,13,3.0,14.594999999999999,2,1,0,0,66,2,33.0,11.0,372
BOOKER,"At the end of the day, we have too much of a problem with corporate power growing. We see that with everything from Citizens United and the way they’re trying to influence Washington. It’s about time that we have a president that fights for the people in this country . . .",Miami-FL,0,0,0,0,61.11636363636364,8,0.6666666666666666,8.6075,0,3,0,0,52,3,17.333333333333332,1.247219128924647,273
GUTHRIE,"That's time, sir.",Miami-FL,0,0,0,0,4.0,0,0.0,-0.07,0,0,0,0,3,1,3.0,0.0,17
BOOKER,We need to have someone that's a champion for them.,Miami-FL,0,0,0,0,11.0,0,0.5,3.885,0,1,0,0,10,1,10.0,0.0,51
GUTHRIE,"Thank you, Senator. Senator Warren, I mentioned you . . .",Miami-FL,0,0,1,0,8.48,3,1.3333333333333333,8.1,1,0,1,0,11,2,5.5,2.5,57
GUTHRIE,(APPLAUSE),Miami-FL,1,0,0,0,1.0,1,0.0,9.0,0,0,0,0,1,1,1.0,0.0,10
GUTHRIE,Are you picking winners and losers?,Miami-FL,0,0,0,0,6.0,2,1.0,4.194999999999999,0,0,1,0,6,1,6.0,0.0,35
WARREN,"So the way I understand this, it's there is way too much consolidation now in giant industries in this country. That hurts workers. It hurts small businesses. It hurts independent farmers. It hurts our economy overall.",Miami-FL,0,0,0,0,34.08567901234568,8,0.8,7.264999999999999,1,1,0,0,36,5,7.2,6.431174076325411,218
WARREN,And it helps constrict real innovation and growth in this economy.,Miami-FL,0,0,0,0,33.879999999999995,3,1.0,9.4525,0,0,0,0,11,1,11.0,0.0,66
WARREN,"Now, look, we've had the laws out there for a long time to be able to fight back. What's been missing is courage, courage in Washington to take on the giants. That's part of the corruption in this system.",Miami-FL,0,0,0,0,70.56000000000003,5,0.0,5.289999999999999,0,0,0,0,39,3,13.0,4.08248290463863,204
WARREN,"It has been far too long that the monopolies have been making the campaign contributions, have been funding the super PACs, have been out there making sure that their influence is heard and felt in every single decision that gets made in Washington. Where I want to start this is I want to return government to the people, and that means calling out the names of the monopolists and saying I have the courage to go after them.",Miami-FL,0,0,0,0,40.10377358490566,10,0.0,15.6925,3,0,0,1,78,2,39.0,4.0,426
GUTHRIE,Thank you.,Miami-FL,0,0,0,0,2.0,0,0.0,-2.2275,0,0,0,0,2,1,2.0,0.0,10
GUTHRIE,(APPLAUSE),Miami-FL,1,0,0,0,1.0,1,0.0,9.0,0,0,0,0,1,1,1.0,0.0,10
HOLT,"Secretary Castro, the next question is for you. Democrats have been talking about the pay gap for decades. What would you do to ensure that women are paid fairly in this country?",Miami-FL,0,0,1,0,95.57333333333334,5,1.5,5.5975,0,0,1,0,32,3,10.666666666666666,2.494438257849294,178
CASTRO,"Thank you very much for that question, Lester. You know, I grew up with a mother who raised my brother, Joaquin, and me as a single parent. And I know what it’s like to struggle. I know what it’s like to rent a home and to worry about whether you’re going to be able to pay the rent at the first of the month and to see a mom work very, very hard and know that moms across this country are getting paid less simply because they’re women.",Miami-FL,0,0,0,0,57.302077266550185,2,1.4,7.08,4,0,2,0,88,4,22.0,18.452642087245934,437
CASTRO,"I would do several things, starting with something we should have done a long time ago, which is to pass the Equal Rights Amendment finally in this country.",Miami-FL,0,0,0,0,28.0,2,0.0,11.330000000000002,1,1,0,0,28,1,28.0,0.0,156
CASTRO,(APPLAUSE),Miami-FL,1,0,0,0,1.0,1,0.0,9.0,0,0,0,0,1,1,1.0,0.0,10
CASTRO,And also pursue legislation so that women are paid equal pay for equal work in this country. It's past time that we did that.,Miami-FL,0,0,0,0,58.33333333333334,2,1.0,5.315,0,1,0,0,24,2,12.0,5.0,125
CASTRO,(APPLAUSE),Miami-FL,1,0,0,0,1.0,1,0.0,9.0,0,0,0,0,1,1,1.0,0.0,10
CASTRO,"And, you know, we have to do this. If we want to be the most prosperous nation in the 21st century, we need to make sure that women are paid what they deserve.",Miami-FL,0,0,0,0,60.984000000000016,3,7.5,5.725,0,3,1,1,33,2,16.5,8.5,159
HOLT,"All right, thank you. I want to put the same question to Congresswoman Gabbard. Your thoughts on equal pay?",Miami-FL,0,0,1,0,101.07999999999991,2,1.3333333333333333,4.005,1,0,1,0,19,3,6.333333333333333,2.6246692913372702,107
GABBARD,"First of all, let’s recognize the situation we’re in, that the American people deserve a president who will put your interests ahead of the rich and powerful. That’s not what we have right now.",Miami-FL,0,0,0,0,107.89333333333332,4,1.6666666666666667,9.365,0,1,1,0,34,2,17.0,10.0,193
GABBARD,"I enlisted in the Army National Guard after the Al Qaida terror attacks on 9/11 so I could go after those who had attacked us on that day. I still serve as a major. I served over 16 years, deployed twice to the Middle East, and in Congress served on the Foreign Affairs and Armed Services Affairs for over six years.",Miami-FL,0,0,0,0,64.97866666666667,11,1.0,8.032499999999999,4,0,0,0,61,3,20.333333333333332,10.143416036468626,316
GABBARD,"I know the importance of our national security, as well as the terribly high cost of war. And for too long, our leaders have failed us, taking us from one regime change war to the next, leading us into a new cold war and arms race, costing us trillions of our hard-earned taxpayer dollars and countless lives.",Miami-FL,0,0,0,0,64.98000000000002,11,3.0,12.142499999999998,1,3,0,0,57,2,28.5,11.5,309
GABBARD,"This insanity must end. As president, I will take your hard-earned taxpayer dollars and instead invest those dollars into serving your needs, things like health care, a green economy, good-paying jobs, protecting our environment, and so much more.",Miami-FL,0,0,0,0,134.7733333333333,10,2.6666666666666665,12.9875,1,1,2,0,38,2,19.0,15.0,247
GABBARD,(APPLAUSE),Miami-FL,1,0,0,0,1.0,1,0.0,9.0,0,0,0,0,1,1,1.0,0.0,10
DIAZ-BALART,"Mayor De Blasio, good evening. You’re the mayor of the biggest city in the United States, but it’s also one of the cities in the country with the greatest gap between the wealthy and the poor. How would you address income inequality?",Miami-FL,0,0,1,0,39.482982248520706,4,1.3333333333333333,6.6975,0,0,1,0,42,3,14.0,12.027745701779143,233
BLASIO,"Well, we’ve been addressing income inequality in New York City by raising wages, by raising benefits, by putting money back in the hands of working people, $15 minimum wage, paid sick days, pre-K for all, things that are making a huge difference in working people’s lives.",Miami-FL,0,0,0,0,94.50000000000003,7,2.5,19.14,0,0,0,0,46,1,46.0,0.0,272
BLASIO,"But let me tell you, what we’re hearing here already in the first round of questions is that battle for the heart and soul of our party. I want to make it clear. This is supposed to be the party of working people. Yes, we’re supposed to be for a 70 percent tax rate on the wealthy. Yes, we’re supposed to be for free college, free public college, for our young people. We are supposed to break up big corporations when they’re not serving our democracy.",Miami-FL,0,0,0,0,46.20712996389892,7,2.0,6.012500000000001,1,4,0,0,86,6,14.333333333333334,6.446359868604572,453
BLASIO,"This Democratic Party has to be strong and bold and progressive. And in New York, we've proven that we can do something very different, we can put money back in the hands of working people. And let me tell you, every time you talk about investing in people and their communities, you hear folks say there's not enough money. What I say to them every single time is, there's plenty of money in this world, there's plenty of money in this country. It's just in the wrong hands. Democrats have to fix that. (APPLAUSE)",Miami-FL,1,0,0,0,57.0082034389825,6,12.333333333333334,7.1575,1,2,2,1,94,7,13.428571428571429,9.27141756547883,514
DIAZ-BALART,"Congressman Delaney, do you agree?",Miami-FL,0,0,1,0,5.0,2,2.5,8.815000000000001,0,0,1,0,5,1,5.0,0.0,34
DELANEY,"I think we have to do real things to help American workers and the American people. Right? This is the issue that all of us hear on the campaign trail. We need to make sure everyone has a living wage. And I’ve called for a doubling of the earned income tax credit, raising the minimum wage, and creating paid family leave. That will create a situation where people actually have a living wage. That gets right to workers.",Miami-FL,0,0,0,0,68.44117647058823,11,1.3333333333333333,6.4399999999999995,1,2,0,0,78,7,11.142857142857142,6.174337938564088,421
DELANEY,"Then we've got to fix our public education system. It's not delivering the results our kids needs, nor is college and post high school career and technical training programs doing that.",Miami-FL,0,0,0,0,152.46000000000015,9,2.0,9.6675,0,2,0,0,31,2,15.5,6.5,185
DELANEY,"You know, I'm very different than everyone else here on the stage. Prior to being in Congress, I was an entrepreneur. I started two businesses. I created thousands of jobs. I spent my whole career helping small- to mid-sized businesses all over the country, 5,000 of them I supported. The Obama administration gave me an award for lending to disadvantaged communities.",Miami-FL,0,0,0,0,86.82333333333335,15,1.2,8.17,6,0,1,0,61,6,10.166666666666666,5.013869652163774,368
DELANEY,"I know how to create jobs. We need a short-term strategy which is to put money in the pockets of workers with the earned income tax credit, raising the minimum wage, and creating family leave, and then we need to have a long-term strategy to make sure this country is competitive and we're creating jobs everywhere in this country.",Miami-FL,0,0,0,0,60.0,9,0.6666666666666666,13.139999999999999,1,2,0,0,59,2,29.5,23.5,331
DIAZ-BALART,"Thank you. Governor Inslee, how would you address income inequality?",Miami-FL,0,0,1,0,28.000000000000007,3,2.0,11.68,0,0,1,0,10,2,5.0,3.0,68
INSLEE,"Well, I’m a little bit surprised. I think plans are great, but I’m a governor. And we’ve got to realize the people who brought us the weekend, unions, need — are going to bring us a long overdue raise in America.",Miami-FL,0,0,0,0,63.999999999999986,5,1.75,5.7925,1,0,0,0,41,3,13.666666666666666,8.806563209081938,212
INSLEE,(APPLAUSE),Miami-FL,1,0,0,0,1.0,1,0.0,9.0,0,0,0,0,1,1,1.0,0.0,10
INSLEE,"And I’m proud of standing up for unions. I’ve got a plan to reinvigorate collective bargaining so we can increase wages finally. I marched with the SEIU folks. It is not right that the CEO of McDonald’s makes 2,100 times more than the people slinging hash at McDonald’s.",Miami-FL,0,0,0,0,154.63,7,1.25,7.0975,1,1,0,0,48,4,12.0,5.477225575051661,270
INSLEE,"And the next thing I'll do is put people to work in the jobs of the present and the future. Look it, Donald Trump is simply wrong. He says wind turbines cause cancer. We know they cause jobs. And we know that we can put millions of people to work in the clean energy jobs of the future.",Miami-FL,0,0,0,1,45.24090714591357,7,2.4,3.795,0,3,0,2,58,5,11.6,6.887670143089026,286
INSLEE,"Carpenters, IBEW members, machinists, we're doing it in my state today. And then we can do what America always does: lead the world and invent the future and put people to work. That's what we're going to do . . .",Miami-FL,0,0,0,0,52.297777777777796,6,4.5,6.6000000000000005,1,1,0,0,41,3,13.666666666666666,5.2493385826745405,213
INSLEE,(CROSSTALK),Miami-FL,0,1,0,0,1.0,0,0.0,8.649999999999999,0,0,0,0,1,1,1.0,0.0,11
DIAZ-BALART,"So, Congressman Ryan, President Trump, and you just referred to him, promise of manufacturing jobs were all coming back to places like your home state of Ohio. Can you make that same promise?",Miami-FL,0,0,1,1,76.23,4,4.333333333333333,9.120000000000001,0,0,3,0,33,2,16.5,10.5,191
RYAN,"Yes, I believe you can, but, first, let’s say the president came, he said don’t sell your house to people in Youngstown, Ohio. And then his administration just in the last two years, we lost $4,000 — 4,000 jobs at a General Motors facility. That rippled throughout our community. General Motors got a tax cut. General Motors got a bailout. And then they have the audacity to move a new car that they’re going to produce to Mexico.",Miami-FL,0,0,0,0,77.75556824671617,10,3.3333333333333335,6.8925,1,2,2,3,78,6,13.0,7.810249675906654,430
RYAN,"I’ve had family members that have to unbolt a machine from the factory floor, put it in a box, and ship it to China. My area where I come from in northeast Ohio, this issue we’re talking about here, it’s been going on 40 years. This is not a new phenomenon in the United States of America.",Miami-FL,0,0,0,0,97.56444444444445,6,10.5,7.1225000000000005,2,0,0,0,57,3,19.0,5.0990195135927845,289
RYAN,"The bottom 60 percent haven't seen a raise since 1980. Meanwhile, the top 1 percent control 90 percent of the wealth. We need an industrial policy saying we're going to dominate building electric vehicles, there's going to be 30 million made in the next 10 years. I want half of them made in the United States. I want to dominate the solar industry . . .",Miami-FL,0,0,0,0,48.607594936708864,10,5.0,7.035,2,1,0,0,66,5,13.2,5.912698199637793,354
DIAZ-BALART,Thank you.,Miami-FL,0,0,0,0,2.0,0,0.0,-2.2275,0,0,0,0,2,1,2.0,0.0,10
RYAN,. . . and manufacture those here in the United States.,Miami-FL,0,0,0,0,8.0,1,0.0,9.0125,0,0,0,0,11,1,11.0,0.0,54
DIAZ-BALART,"Senator Warren, are they coming back? Are these jobs coming back?",Miami-FL,0,0,1,0,11.146666666666668,2,2.6666666666666665,5.3375,0,0,0,1,11,2,5.5,0.5,65
WARREN,"So we’ve had an industrial policy in the United States for decades now, and it’s basically been let giant corporations do whatever they want to do. Giant corporations have exactly one loyalty, and that is to profits. And if they can save a nickel by moving a job to Mexico or to Asia or to Canada, they’re going to do it.",Miami-FL,0,0,0,0,56.32940298507464,10,11.0,9.8075,0,0,0,2,61,3,20.333333333333332,6.649979114420001,321
WARREN,"So here's what I propose for an industrial policy. Start with a place where there's a real need. There's going to be a worldwide need for green technology, ways to clean up the air, ways to clean up the water. And we can be the ones to provide that. We need to go tenfold in our research and development on green energy going forward.",Miami-FL,0,0,0,0,38.37056737588652,10,0.75,6.1375,1,3,0,0,64,5,12.8,5.1536394906900505,334
WARREN,(APPLAUSE),Miami-FL,1,0,0,0,1.0,1,0.0,9.0,0,0,0,0,1,1,1.0,0.0,10
WARREN,"And then we need to say any corporation can come and use that research. They can make all kinds of products from it, but they have to be manufactured right here in the United States of America.",Miami-FL,0,0,0,0,76.66400000000004,4,1.6666666666666667,7.8025,0,1,0,2,37,2,18.5,4.5,193
WARREN,"And then we have to double down and sell it around the world. There's a $23 trillion market coming for green products. We should be the leaders and the owners, and we should have that 1.2 million manufacturing jobs here in America.",Miami-FL,0,0,0,0,52.297777777777796,5,0.0,6.5175,0,3,0,0,42,3,14.0,4.546060565661952,231
DIAZ-BALART,Thank you.,Miami-FL,0,0,0,0,2.0,0,0.0,-2.2275,0,0,0,0,2,1,2.0,0.0,10
WARREN,We can do this.,Miami-FL,0,0,0,0,4.0,0,0.0,-3.3400000000000003,0,1,0,0,4,1,4.0,0.0,15
HOLT,"All right. We're going to turn to the issue of health care right now and really try to understand where there may or may not be daylight between you. Many people watching at home have health insurance coverage through their employer. Who here would abolish their private health insurance in favor of a government-run plan? Just a show of hands, start off with.",Miami-FL,0,0,0,0,104.26181818181819,8,2.75,8.28,0,0,0,2,63,5,12.6,8.284926070883193,360
HOLT,(APPLAUSE),Miami-FL,1,0,0,0,1.0,1,0.0,9.0,0,0,0,0,1,1,1.0,0.0,10
HOLT,"All right, well, Senator Klobuchar, let me put the question to you. You're one of the Democrats who wants to keep private insurance in addition to a government health care plan. Why is an incremental approach in your view better than a sweeping overhaul?",Miami-FL,0,0,1,0,94.50000000000003,8,4.0,8.44,0,0,1,0,44,3,14.666666666666666,3.0912061651652345,254
KLOBUCHAR,"Well, I think it's a bold approach. It's something that Barack Obama wanted to do when we were working on the Affordable Care Act. And that is a public option.",Miami-FL,0,0,0,0,71.68,6,1.5,4.555,1,1,0,0,30,3,10.0,4.96655480858378,159
KLOBUCHAR,"I am just simply concerned about kicking half of America off of their health insurance in four years, which is exactly what this bill says. So let me go on beyond that.",Miami-FL,0,0,0,0,286.72,6,0.5,7.0825,1,0,0,1,32,2,16.0,9.0,168
KLOBUCHAR,"There is a much bigger issue in addition to that, and that is pharmaceuticals. The president literally went on TV, on Fox, and said that people's heads would spin when they see how much he would bring down pharmaceutical prices. Instead, 2,500 drugs have gone up in double-digits since he came into office. Instead, he gave $100 billion in giveaways to the pharma companies.",Miami-FL,0,0,0,0,79.38000000000001,12,2.75,9.375,0,0,0,4,64,4,16.0,5.873670062235365,374
KLOBUCHAR,"For the rest of us, for the rest of America, that's what we call at home all foam and no beer. We got nothing out of it.",Miami-FL,0,0,0,0,28.740033840947547,0,0.5,2.7675,0,2,0,0,27,2,13.5,7.5,120
KLOBUCHAR,(LAUGHTER),Miami-FL,0,0,0,0,1.0,1,0.0,9.0,0,0,0,0,1,1,1.0,0.0,10
KLOBUCHAR,"And so my proposal is to do something about pharma, to take them on, to allow negotiation under Medicare, to bring in less expensive drugs from other countries. And pharma thinks they own Washington? Well, they don't own me.",Miami-FL,0,0,0,0,63.999999999999986,7,2.3333333333333335,8.07,1,0,0,2,39,3,13.0,10.614455552060438,224
HOLT,Your time is up. Thank you.,Miami-FL,0,0,0,0,6.0,0,0.0,-0.45750000000000013,0,0,1,0,6,2,3.0,1.0,27
HOLT,(APPLAUSE),Miami-FL,1,0,0,0,1.0,1,0.0,9.0,0,0,0,0,1,1,1.0,0.0,10
HOLT,"Senator Warren, you signed on to Bernie Sanders’ Medicare-for-all plan. It would put essentially everybody on Medicare and then eliminate private plans that offer similar coverage. Is that the plan or path that you would pursue as president?",Miami-FL,0,0,2,0,67.38666666666666,11,2.0,10.4625,0,0,2,0,38,3,12.666666666666666,2.494438257849294,241
WARREN,"So, yes. I'm with Bernie on Medicare for all. And let me tell you why.",Miami-FL,0,0,0,0,16.0,1,0.5,0.7925,0,0,1,0,15,3,5.0,2.160246899469287,70
WARREN,"I spent a big chunk of my life studying why families go broke. And one of the number-one reasons is the cost of health care, medical bills. And that's not just for people who don't have insurance. It's for people who have insurance.",Miami-FL,0,0,0,0,45.675359516616325,5,0.5,5.465,2,0,0,0,43,4,10.75,3.112474899497183,232
WARREN,"Look at the business model of an insurance company. It’s to bring in as many dollars as they can in premiums and to pay out as few dollars as possible for your health care. That leaves families with rising premiums, rising copays, and fighting with insurance companies to try to get the health care that their doctors say that they and their children need. Medicare for all solves that problem.",Miami-FL,0,0,0,0,47.58582343398399,11,1.0,8.79,0,0,1,4,70,4,17.5,10.21028892833107,394
WARREN,"And I understand. There are a lot of politicians who say, oh, it's just not possible, we just can't do it, have a lot of political reasons for this. What they're really telling you is they just won't fight for it. Well, health care is a basic human right, and I will fight for basic human rights...",Miami-FL,0,0,0,0,61.0,5,1.0,5.630000000000001,2,1,1,1,57,4,14.25,8.257572282456872,298
WARREN,(CROSSTALK),Miami-FL,0,1,0,0,1.0,0,0.0,8.649999999999999,0,0,0,0,1,1,1.0,0.0,11
