,segment,speaker,debate,segment_length,mtld,n_difficult_words,n_opponent_mentions,n_words_before_main_verb,readability,person_1sg,person_1pl,person_2,person_3
61,"when you said the whole business model was fraudulent?
",bash,brookyln_2016_04_14,55,9.0,2,0,2,8.280000000000001,0,0,1,0
62,"That's right. So, let's start off with the basic premise. A few days ago Goldman Sachs formally reached a settlement with the United States government for $5 billion dollars. What Goldman Sachs acknowledged was, essentially, that they were selling fraudulent packages of subprime mortgage loans.
",sanders,brookyln_2016_04_14,296,84.64,12,0,9,10.822500000000002,0,1,0,1
63,"Goldman Sachs was not the only bank, other banks, of course, did the same. Now, I don't need Dodd-Frank now to tell me that we have got to break up these banks, A, because they're based on fraudulent principles, and B, because when you have six financial institutions that have assets equivalent to 58% of the GFP of this country, they are just too big, too much concentration of wealth and power.
",sanders,brookyln_2016_04_14,398,93.25750000000002,8,0,5,14.475000000000001,2,2,1,2
64,"But, Senator...
",bash,brookyln_2016_04_14,16,2.0,1,0,0,11.45,0,0,0,0
65,"The point is we have got to break them up so that they do not pose a systemic risk and so that we have a vibrant economy with a competitive financial system.
",sanders,brookyln_2016_04_14,158,47.78666666666667,6,0,0,12.0525,1,2,0,1
66,"But Senator, you didn't answer the specific question which is not just about breaking up the banks, but why allow the banks to do it themselves?
",bash,brookyln_2016_04_14,145,51.03,4,0,6,11.690000000000001,2,0,1,1
67,"Because I'm not sure that the government should say is you are too big to fail. You've got to be a certain size. And, then the banks themselves can figure out what they want to sell off. I don't know that it's appropriate that the Department of Treasury to be making those decisions. What we need is to make sure that they are safe. [applause]
",sanders,brookyln_2016_04_14,344,78.41647058823531,6,0,12,5.745,5,1,2,3
68,"Dana, you know — I love being in Brooklyn. [cheering and applause]
",clinton,brookyln_2016_04_14,67,11.0,3,0,6,5.687500000000001,2,0,1,0
69,"Dana, let me add here that there are two ways to at this under Dodd-Frank, which is after all the law we passed under President Obama, and I'm proud that Barney Frank, one of the authors, has endorsed me because what I have said continuously is, yes, sometimes the government may have to order certain actions. Sometime the government can permit the institution themselves to take those actions. That has to be the judgement of the regulators.
",clinton,brookyln_2016_04_14,444,85.17600000000002,12,0,6,11.7675,5,1,0,3
70,"But, there's another element to this. I believe strongly that executives of any of these organizations should be financially penalized if there is a settlement. [applause]
",clinton,brookyln_2016_04_14,172,102.06,7,0,1,12.14,3,0,0,0
71,"They should have to pay up through compensation or bonuses because we have to go after not just the big giant institution, we have got to go after the people who are making the decisions in the institutions.
",clinton,brookyln_2016_04_14,208,39.216,5,0,25,16.0575,3,2,0,1
72,"Thank you, Madam Secretary.
",bash,brookyln_2016_04_14,28,4.0,1,0,0,8.862499999999999,0,0,1,0
73,"And hold them accountable as well. [applause]
",clinton,brookyln_2016_04_14,46,7.0,2,0,1,7.987500000000001,0,1,0,0
74,"Senator Sanders, you have consistently criticized Secretary Clinton for accepting money from Wall Street. Can you name one decision that she made as senator that shows that he favored banks because of the money she received?
",bash,brookyln_2016_04_14,225,60.480000000000025,9,0,8,12.275,0,0,2,3
75,"Sure. Sure. The obvious decision is when the greed and recklessness and illegal behavior of wall street brought this country into the worst economic downturn since the Great Recession — the Great Depression of the '30s, when millions of people lost their jobs, and their homes, and their life savings, the obvious response to that is that you've got a bunch of fraudulent operators and that they have got to be broken up.
",sanders,brookyln_2016_04_14,422,35.92360586323126,13,0,0,28.167500000000004,4,0,1,4
76,"That was my view way back, and I introduced legislation to do that. Now, Secretary Clinton was busy giving speeches to Goldman Sachs for $225,000 a speech. [applause]
",sanders,brookyln_2016_04_14,167,68.03999999999998,7,0,0,8.709999999999999,3,0,0,0
77,"So the problem response — the proper response in my view is we should break them up. And that's what my legislation does.
",sanders,brookyln_2016_04_14,122,34.088126520681264,3,0,14,5.3374999999999995,4,1,0,0
78,"Well, you can tell, Dana, he cannot come up with any example, because there is no example. [applause]
",clinton,brookyln_2016_04_14,102,90.71999999999997,2,0,4,8.69,1,1,1,1
79,"It is important — it's always important. It may be inconvenient, but it's always important to get the facts straight. I stood up against the behaviors of the banks when I was a senator.
",clinton,brookyln_2016_04_14,186,29.08783783783784,3,0,1,6.335,11,0,0,0
80,"I called them out on their mortgage behavior. I also was very willing to speak out against some of the special privileges they had under the tax code. When I went to the secretary of state office, the president — President Obama led the effort to pass the Dodd-Frank bill.
",clinton,brookyln_2016_04_14,273,56.023333333333326,8,0,16,8.2775,3,1,0,2
81,"That is the law. Now, this is our ninth debate. In the prior eight debates, I have said, we have a law. You don't just say, we're upset about this. I'm upset about it. You don't just say, go break them up. You have a law, because we are a nation of laws.
",clinton,brookyln_2016_04_14,255,41.0609845126975,4,0,8,1.1375,6,4,3,0
82,"Thank you, Madam Secretary.
",bash,brookyln_2016_04_14,28,4.0,1,0,0,8.862499999999999,0,0,1,0
83,"So I support Dodd-Frank, but I have consistently said that's not enough. We've got to include the shadow banking sector.
",clinton,brookyln_2016_04_14,121,135.52000000000015,5,0,4,6.87,3,1,0,0
84,"Thank you. Senator Sanders. [applause]
",bash,brookyln_2016_04_14,39,5.0,2,0,0,10.860000000000001,0,0,1,0
85,"Secretary Clinton called them out. Oh my goodness, they must have been really crushed by this. And was that before or after you received huge sums of money by giving speaking engagements? So they must have been very, very upset by what you did.
",sanders,brookyln_2016_04_14,245,67.76000000000002,5,0,11,5.8175,1,0,2,2
86,"Look, here is the difference and here is the clear difference. These banks, in my view, have too much power. They have shown themselves to be fraudulent organizations endangering the well-being of our economy.
",sanders,brookyln_2016_04_14,210,41.84833333333333,5,0,2,9.067499999999999,4,2,0,6
87,"If elected president, I will break them up. We have got legislation to do that, end of discussion. [applause]
",sanders,brookyln_2016_04_14,110,19.0,5,0,8,7.3100000000000005,2,1,0,0
88,"Secretary Clinton, if I may, Senator Sanders keeping bringing up the speeches that you gave to Goldman Sachs. So I'd like to ask you, so you've said that you don't want to release the transcripts, until everybody does it, but if there's nothing in those speeches that you think would change voters' minds, why not just release the transcripts and put this whole issue to bed? [applause]
",bash,brookyln_2016_04_14,387,83.02823529411765,12,0,20,13.7775,7,0,5,0
89,"You know, first of all — first of all, there isn't an issue. When I was in public service serving as the senator from New York, I did stand up to the banks. I did make it clear that their behavior would not be excused.
",clinton,brookyln_2016_04_14,219,56.85245901639345,5,0,18,5.085,7,0,1,1
90,"I'm the only one on this stage who did not vote to deregulate swaps and derivatives, as Senator Sanders did, which led to a lot of the problems that we had with Lehman Brothers.
",clinton,brookyln_2016_04_14,178,114.33333333333331,5,0,0,13.2775,1,1,0,0
91,"Now, if you're going to look at the problems that actually caused the Great Recession, you've got to look at the whole picture. It was a giant insurance company, AIG. It was an investment bank, Lehman Brothers. It was mortgage companies like Countrywide.
",clinton,brookyln_2016_04_14,255,56.70000000000001,9,0,20,8.102500000000001,6,0,2,0
92,"I'm not saying that Senator Sanders did something untoward when he voted to deregulate swaps and derivatives...
",clinton,brookyln_2016_04_14,112,18.0,6,0,3,13.4025,1,0,0,1
93,"Madam Secretary...
",bash,brookyln_2016_04_14,19,2.0,1,0,0,16.125,0,0,0,0
94,"... but the fact is he did.
",clinton,brookyln_2016_04_14,28,6.0,0,0,0,-0.33499999999999996,1,0,0,1
95,"And that contributed to the collapse of Lehman Brothers and started the cascade... [applause]
",clinton,brookyln_2016_04_14,94,27.439999999999994,6,0,2,10.620000000000001,0,0,0,0
96,"[crosstalk]
",clinton,brookyln_2016_04_14,12,1.0,0,0,0,11.275,0,0,0,0
97,"Senator Sanders, one second, please. Secretary Clinton, the question was about the transcripts of the speeches to Goldman Sachs. [applause]
",bash,brookyln_2016_04_14,140,56.000000000000014,7,0,0,10.4,0,0,0,0
98,"Why not release them?
",bash,brookyln_2016_04_14,22,4.0,1,0,2,2.175,0,0,0,0
99,"I have said, look, there are certain — there are certain expectations when you run for president. This is a new one. And I've said, if everybody agrees to do it — because there are speeches for money on the other side. I know that.
",clinton,brookyln_2016_04_14,232,48.2961111111111,3,0,6,4.785,6,0,1,0
100,"But I will tell you this, there is — there is a long-standing expectation that everybody running release their tax returns, and you can go — you can go to my website and see eight years of tax returns. And I've released 30 years of tax returns. And I think every candidate, including Senator Sanders and Donald Trump, should do the same. [applause]
",clinton,brookyln_2016_04_14,349,48.71390767421347,11,1,37,9.665,7,1,3,1
101,"Secretary Clinton, we're going to get to the tax returns later, but just to put a button on this, you're running now for the Democratic nomination.
",bash,brookyln_2016_04_14,148,54.87999999999999,6,0,5,12.559999999999999,0,1,1,0
102,"Right.
",clinton,brookyln_2016_04_14,7,1.0,0,0,0,-0.4274999999999999,0,0,0,0
103,"And it is your Democratic opponent and many Democratic voters who want to see those transcripts. It's not about the Republicans...[crosstalk] [applause]
",bash,brookyln_2016_04_14,153,53.760000000000005,6,0,0,10.9275,3,0,2,0
104,"You know, let's set the same standard for everybody. When everybody does it, OK, I will do it, but let's set and expect the same standard on tax returns. Everybody does it, and then we move forward.
",clinton,brookyln_2016_04_14,199,39.0,2,0,3,5.1899999999999995,4,1,1,0
105,"Thank you.
",blitzer,brookyln_2016_04_14,11,2.0,0,0,0,-0.9275,0,0,1,0
106,"Well, let me respond. Secretary Clinton, you just heard her, everybody else does it, she'll do it. I will do it. [applause]
",sanders,brookyln_2016_04_14,124,36.18666666666667,4,0,2,4.0575,4,1,1,4
107,"I am going to release all of the transcripts of the speeches that I gave on Wall Street behind closed doors, not for $225,000, not for $2,000, not for two cents. There were no speeches. [applause]
",sanders,brookyln_2016_04_14,197,31.486756756756755,4,0,2,7.0825000000000005,2,1,0,0
108,"And second of all, of course we will release our taxes. Jane does our taxes. We've been a little bit busy lately. You'll excuse us. But we will...
",sanders,brookyln_2016_04_14,147,42.000000000000014,3,0,11,1.8525,0,5,1,0
109,"Senator...
",blitzer,brookyln_2016_04_14,11,1.0,1,0,0,23.125,0,0,0,0
110,"We will get them out.
",sanders,brookyln_2016_04_14,22,5.0,0,0,0,-1.0025,0,1,0,0
111,"Senator...
",blitzer,brookyln_2016_04_14,11,1.0,1,0,0,23.125,0,0,0,0
112,"Well, you know, there are a lot of copy machines around.
",clinton,brookyln_2016_04_14,57,11.0,1,0,0,3.7600000000000002,0,1,1,0
113,"Senator, when are you — when are you — you've been asked for weeks and weeks to release your tax returns.
",blitzer,brookyln_2016_04_14,106,15.552331606217617,3,0,13,8.057500000000001,0,2,5,0
114,"Well, I think we got one that's coming out tomorrow.
",sanders,brookyln_2016_04_14,53,11.0,0,0,3,4.255,1,2,0,0
115,"Which one?
",blitzer,brookyln_2016_04_14,11,2.0,0,0,0,-0.9275,0,0,0,0
116,"Last year's.
",sanders,brookyln_2016_04_14,13,3.0,0,0,0,0.9724999999999999,0,0,0,0
117,"2014?
",blitzer,brookyln_2016_04_14,6,0.0,0,0,0,-3.0524999999999998,0,0,0,0
118,"Yes.
",sanders,brookyln_2016_04_14,5,1.0,0,0,0,-5.6775,0,0,0,0
119,"What about 2013, all the other ones?
",blitzer,brookyln_2016_04_14,37,6.0,0,0,0,2.4675000000000002,0,0,0,0
120,"You'll get them, yes. Yeah, look, I don't want to get anybody very excited. They are very boring tax returns. No big money from speeches, no major investments. Unfortunately — unfortunately, I remain one of the poorer members of the United States Senate. And that's what that will show. [applause]
",sanders,brookyln_2016_04_14,298,94.64000000000001,9,0,12,6.025,3,0,1,1
121,"So, Senator, just to be clear, tomorrow you will release the 2014 tax returns from you and your family?
",blitzer,brookyln_2016_04_14,104,90.71999999999997,3,0,12,8.7975,0,0,4,0
122,"Yes.
",sanders,brookyln_2016_04_14,5,1.0,0,0,0,-5.6775,0,0,0,0
123,"And what about the earlier ones? What's the problem...
",blitzer,brookyln_2016_04_14,55,14.000000000000004,2,0,0,4.4775,0,0,0,0
124,"Yes.
",sanders,brookyln_2016_04_14,5,1.0,0,0,0,-5.6775,0,0,0,0
125,"What's taking so long? Because you just have to go to the filing cabinet, make a copy, and release them. [applause]
",blitzer,brookyln_2016_04_14,116,135.52000000000015,3,0,13,4.7825,0,0,1,0
126,"Wolf, the answer is, you know, what we have always done in my family is, Jane does them. And she's been out on the campaign trail. We will get them out. We'll get them out very shortly. It's not a big deal.
",sanders,brookyln_2016_04_14,207,56.70000000000001,2,0,0,1.8475000000000001,5,3,1,1
127,"Thank you. Senator, Senator, you've slammed companies like General Electric and Verizon for moving jobs outside of the United States. Yesterday, the CEO of Verizon called your views contemptable and said in your home state of Vermont Verizon has invested more than $16 million and pays millions of dollars a year to local businesses. He says you are, quote, ""uninformed on this issue"" and disconnected from reality. Given your obvious contempt for large American corporations, how would you as president of the United States be able to effectively promote American businesses around the world?
",blitzer,brookyln_2016_04_14,594,77.04943089430894,20,0,13,13.9575,3,0,10,1
128,"Well, for a start, I would tell the gentleman who's the CEO at Verizon to start negotiating with the Communication Workers of America. [applause]
",sanders,brookyln_2016_04_14,146,58.33333333333334,5,0,8,13.605,1,1,0,0
129,"And this is — this is a perfect example, Wolf, of the kind of corporate greed which is destroying the middle class of this country. This gentleman makes $18 million a year in salary. That's his — that's his compensation. This gentleman is now negotiating to take away health care benefits of Verizon workers, outsource call center jobs to the Philippines, and — and trying to create a situation where workers will lose their jobs. He is not investing in the way he should in inner cities in America. [applause]
",sanders,brookyln_2016_04_14,511,40.083209233060316,17,0,9,9.675,11,0,0,6
130,"All right. Senator, but the question was, the question was, given your contempt for large American corporations, as president, how would you be able to promote American business around the world?
",blitzer,brookyln_2016_04_14,196,40.155093023255816,5,0,0,15.71,0,0,3,0
131,"First of all, the word contempt is not right. There are some great businesses who treat their workers and the environment with respect. [applause]
",sanders,brookyln_2016_04_14,147,161.28000000000014,6,0,0,8.307500000000001,1,0,0,1
132,"Verizon happens not to be one of them. [applause]
",sanders,brookyln_2016_04_14,50,9.0,3,0,1,5.9,0,0,0,0
133,"And what we need to do is to tell this guy Immelt, who's the head of General Electric, he doesn't like me, well, that's fine. He has outsourced hundreds of thousands of decent-paying jobs throughout the world...[applause]...cut his workforce here substantially and in a given year, by the way, it turns out that both Verizon and General Electric, in a given year, pay nothing in federal income tax despite making billions in profits. [booing]
",sanders,brookyln_2016_04_14,443,97.08222222222224,16,0,31,15.995000000000001,8,2,0,6
134,"But Senator, experts say that no matter the means to bring back these jobs to the United States, prices of goods for consumers in the United States would go up, which would disproportionately impact the poor and middle class.
",blitzer,brookyln_2016_04_14,226,60.839999999999996,5,0,4,16.310000000000002,2,0,0,0
135,"So how do you bring back these jobs to the United States without affecting the cost of goods to America's middle class and poor?
",blitzer,brookyln_2016_04_14,129,87.50000000000006,2,0,4,10.39,0,0,1,0
136,"Well, for a start, we're going to raise the minimum wage to 15 bucks an hour. [applause]
",sanders,brookyln_2016_04_14,89,80.91999999999999,2,0,8,6.7325,0,2,0,0
137,"And number two, while it is true we may end up paying a few cents more for a hamburger in McDonald's, at the end of the day, what this economy desperately needs is to rebuild our manufacturing sector with good-paying jobs. [applause]
",sanders,brookyln_2016_04_14,234,129.42999999999992,8,0,0,17.5975,4,2,0,0
138,"We cannot continue to sustain the loss of millions of decent-paying jobs that we have seen over the last 20, 30 years, based on trade agreements of which Secretary Clinton has voted for almost every one of those. That has got to change.
",sanders,brookyln_2016_04_14,237,58.83500000000002,9,0,5,9.405,0,2,0,0
139,"Thank you.
",blitzer,brookyln_2016_04_14,11,2.0,0,0,0,-0.9275,0,0,1,0
140,"Secretary...[laughter]...Secretary Clinton? [applause]
",blitzer,brookyln_2016_04_14,55,6.000000000000001,4,0,0,41.565000000000005,0,0,0,0
141,"Well, first of all, I do have a very comprehensive plan to create more jobs and I think that has to be at the center of our economic approach. And so I think it is important that we do more on manufacturing. I went to Syracuse and laid out a $10 billion plan that would, I believe, really jump-start advanced manufacturing.
",clinton,brookyln_2016_04_14,324,60.0,8,0,4,8.7375,8,4,0,0
